# m1 q z
3.849960485326839432e+01 7.194949480422055954e-01 3.558920459673361458e-01
4.133035762787765321e+01 5.565691438707593974e-01 6.822142818221038629e-01
3.333865724509188055e+01 8.079544439348430585e-01 5.962812851286244387e-01
5.019728616354341000e+01 3.558315859448028529e-01 7.243308869603050093e-01
4.165971440925536484e+01 8.294190726892872734e-01 4.697794447594672573e-01
4.166649997664254101e+01 9.892177333424755359e-01 5.211372350268602682e-01
4.678163997008135055e+01 5.389324240654251863e-01 5.145914530664196240e-01
4.049700604344786115e+01 7.447426982158178443e-01 6.694125425060120094e-01
4.420019717234460899e+01 5.999072123087232367e-01 6.491437552326270177e-01
3.266434523963756931e+01 9.483207073553779898e-01 5.387788301961063953e-01
2.865794050289965966e+01 8.950154820405140654e-01 1.048785065462180643e+00
3.828608205437394219e+01 9.015690649667943424e-01 5.273438468302715787e-01
3.933129146939261744e+01 6.198257858850353408e-01 1.085853130057639726e+00
4.685067885551463007e+01 8.222938355865286875e-01 3.770619889374904332e-01
4.780257169452391963e+01 4.831339763558744060e-01 4.353770582753292984e-01
4.909997762227612839e+01 6.028275429512338635e-01 5.017816085355719657e-01
3.730731065955100689e+01 6.138902935585525134e-01 8.025668412448716538e-01
4.586028266686781052e+01 4.017696895177533256e-01 5.598858095612757602e-01
3.564289412842526872e+01 9.246874000303906271e-01 7.268157228302699613e-01
4.175561655752799339e+01 7.712505020310458370e-01 4.980847714966945561e-01
3.483295093946063758e+01 8.792718115853026539e-01 7.883321006137237186e-01
3.960357184112054085e+01 8.398950386603142304e-01 6.027074626611823582e-01
4.249532493713751080e+01 4.603090003317247270e-01 9.368464528030998606e-01
3.960577176025947921e+01 5.442188105383971575e-01 6.675627958352973179e-01
4.286805898151838079e+01 7.739932415205735827e-01 3.166030356048349925e-01
4.241489335532192939e+01 7.066354565816743705e-01 5.517726522457792049e-01
3.576141097159900539e+01 7.821275298746833693e-01 4.163844989053874790e-01
4.025146640941249387e+01 6.772951011853950432e-01 4.987406163966159878e-01
4.103253031517478178e+01 9.816090093510105863e-01 4.230521889761129639e-01
4.495154683832043929e+01 5.148927460093080111e-01 5.548192127961673048e-01
4.707206868517627640e+01 4.770458162505812894e-01 7.450553850767021036e-01
4.080757378984537098e+01 5.898287213645275751e-01 7.525442173665813916e-01
4.236978535755923048e+01 8.576521238928653812e-01 3.935799383384260830e-01
4.460595407925590905e+01 8.611116830528473542e-01 4.948257172871596832e-01
4.161575455035795557e+01 8.291627455383459022e-01 5.297941231868958933e-01
5.054566071467464639e+01 4.202972743699477376e-01 3.483044619419465304e-01
3.900130261629325901e+01 6.406706892212565840e-01 6.721645698818523584e-01
