# m1 q z
1.188148592151664040e+01 6.593952684592800928e-01 1.533798121313378060e-01
1.104393732400512818e+01 7.545839455048130029e-01 1.598138077222262254e-01
1.190935790444143549e+01 6.908798302337557651e-01 1.240637914666701536e-01
1.488870419727973271e+01 4.358346879039549648e-01 1.518773408859457608e-01
1.144107604295357206e+01 7.241247823600108768e-01 1.517405312689671659e-01
9.385600808341131085e+00 9.932670320965838462e-01 1.948484949448962000e-01
1.236079779066954387e+01 6.380744496846991742e-01 1.343933650127670798e-01
9.974126367577815344e+00 9.300496821624052446e-01 1.586036284405279440e-01
1.145493042989051169e+01 7.164696685245073304e-01 1.614818685657585795e-01
1.017443374890275187e+01 9.344704078517391821e-01 1.303165644220974084e-01
1.048050794672715114e+01 8.379395198694653546e-01 1.676601995060341410e-01
1.072120080750201510e+01 8.852766125091514615e-01 1.032775350801371228e-01
1.014337808572014232e+01 8.992938240713437281e-01 1.567763619615640536e-01
1.037885486631237164e+01 9.332251767340904447e-01 1.114064266801389480e-01
1.157337458839020172e+01 6.912138793064491749e-01 1.587394754726709767e-01
1.035878209119045046e+01 9.719177553193826258e-01 8.993585352102771713e-02
1.240849416847587428e+01 7.217976167358939321e-01 5.953734768244386272e-02
1.114469667354404159e+01 7.848813678095065693e-01 1.370376755144372960e-01
1.002246123185594229e+01 9.763798705550987833e-01 1.236849651464807937e-01
1.201646326720642222e+01 6.538572506395343709e-01 1.560595402402077114e-01
9.936796734655285235e+00 9.177251293366371909e-01 1.654290924168471122e-01
1.049374541900473012e+01 9.786697016421828099e-01 7.258605489092524732e-02
1.032309833153765588e+01 9.165381241092980247e-01 1.288982847714620350e-01
1.396821859993329795e+01 5.256276405826334486e-01 1.130263239203775361e-01
1.258647515584295284e+01 6.510511572163847349e-01 9.939906357152454575e-02
1.301621031427575481e+01 6.125920738906235341e-01 1.024106597495780951e-01
1.136055752879004110e+01 7.663478008859592183e-01 1.228823028862953970e-01
1.431811146327878603e+01 5.053456770615466498e-01 1.076378362239884395e-01
1.389409708434182100e+01 4.901586161426756960e-01 1.591013005191547758e-01
1.182006221016638037e+01 6.736342164311590608e-01 1.506151793602578393e-01
1.055091603870339512e+01 8.046073375938439520e-01 1.779896602728900101e-01
1.334991256030803619e+01 5.305786548056711238e-01 1.567612095014108975e-01
1.101272450080496235e+01 8.021558560292911810e-01 1.221198713448917450e-01
9.827400452478403992e+00 9.368251472103670263e-01 1.700287431657673820e-01
1.224860712366497317e+01 7.074239056048972074e-01 8.561731678934317302e-02
1.118634065039337600e+01 7.566362371514012697e-01 1.465603811688827307e-01
1.116516779913467516e+01 7.951883305980034233e-01 1.174262872222070486e-01
1.329332298381413402e+01 5.845162302471361704e-01 9.949799743798669327e-02
1.319804513431459903e+01 5.463134386530867914e-01 1.502658799468027107e-01
1.077545274666080211e+01 8.698986448298814400e-01 1.083664214203021586e-01
1.162348685268778858e+01 6.926951884968848283e-01 1.550868659429308904e-01
1.103904270724504144e+01 7.550788745540569780e-01 1.597858020421739078e-01
1.165339909198543111e+01 6.886138413502572719e-01 1.534172900028919484e-01
1.176806016058580973e+01 7.013885796704487641e-01 1.297671679593255523e-01
1.371198252213070568e+01 5.813382076470675619e-01 7.508115447257127095e-02
1.094511753461874015e+01 9.365638158710075656e-01 4.759286172429438855e-02
1.045344237072532501e+01 9.305944009666128336e-01 1.094535741143888297e-01
1.114668739512864448e+01 7.748308089532300880e-01 1.345260301752679855e-01
1.550555985490462341e+01 4.116553988473959924e-01 1.428973971806970777e-01
1.017766016672571361e+01 9.043278455839968144e-01 1.538199161328391296e-01
1.177412990809767734e+01 6.646788271473557108e-01 1.644252362606310192e-01
1.289476250899155829e+01 6.347184135381962466e-01 8.484859571826307290e-02
9.913285427392315441e+00 9.213939607473939919e-01 1.655513285305846849e-01
1.034176133725336122e+01 8.837550009928051287e-01 1.444037059110150345e-01
1.030884772059354759e+01 9.320091883871119975e-01 1.212216256633681100e-01
1.253713796702534822e+01 5.956211267709962121e-01 1.629617571688418420e-01
1.259594459502168817e+01 5.785858994890576978e-01 1.712295087286066775e-01
1.025226839919779209e+01 9.233217636775959969e-01 1.306306612990154603e-01
1.030215008151684941e+01 8.921085856977774009e-01 1.432186394886910685e-01
1.191147338303760606e+01 6.880885978706692274e-01 1.293251109603332505e-01
1.166813130626208128e+01 6.928535222010383521e-01 1.429574839325563340e-01
1.112451056944548888e+01 8.428851019525650523e-01 9.529645586982035677e-02
1.261729033789209176e+01 5.997256716621196526e-01 1.405317318238185620e-01
1.543825885271069076e+01 4.317430497585891258e-01 1.169144243861664351e-01
1.116929271146990033e+01 8.008810219522474183e-01 1.212561371177339614e-01
1.045124355413012474e+01 8.533183869228837537e-01 1.496594580127034446e-01
1.033754505722911787e+01 9.025747632916771845e-01 1.373597827056523557e-01
1.411088128179493850e+01 4.682981782247033764e-01 1.680619849920103881e-01
1.242195305471324929e+01 5.901442556384968174e-01 1.765370498204135719e-01
1.395442607044315864e+01 5.298369548928713035e-01 1.022631043622363456e-01
1.103077560826359260e+01 7.931275787675402533e-01 1.356023769186133487e-01
1.036186364173663144e+01 9.777367213508522115e-01 8.561716202189703639e-02
1.328762079698613618e+01 5.528785381117182762e-01 1.375928189814496494e-01
1.373247311500008117e+01 5.095157112688339929e-01 1.476025380152297672e-01
1.165310565869407711e+01 6.908495773704314002e-01 1.518093453470130694e-01
1.214647267711860934e+01 6.612997381708772826e-01 1.343582920130955705e-01
1.198845635896570982e+01 6.316522536381772301e-01 1.756373446244039183e-01
1.275950550369247871e+01 6.806271199513412862e-01 6.896493724250314650e-02
1.241764379664884288e+01 5.970729393066640522e-01 1.710696681382049833e-01
1.480153395166404273e+01 4.671188333781871038e-01 1.126100885069798579e-01
1.188049153468828933e+01 6.766894783982412287e-01 1.390899913936148313e-01
1.041783924441316245e+01 8.344394038781226541e-01 1.689222413880671070e-01
1.020700140027932434e+01 8.668881083596085002e-01 1.766515481884162742e-01
1.062467656935426419e+01 9.097796457775504386e-01 1.025962930288037978e-01
1.182010687673900406e+01 7.604190061150174484e-01 8.993946792080857733e-02
1.236045547921363763e+01 6.905705131443061751e-01 8.593231233044662520e-02
1.060493170196581936e+01 8.854701778915549104e-01 1.249237935015275885e-01
1.052932024663256172e+01 9.055391350095568503e-01 1.085907472263569623e-01
1.352941614864809772e+01 6.001899984322262016e-01 6.972472728959297483e-02
1.128275629617501608e+01 7.344844130597758536e-01 1.532656257417543966e-01
1.009745630261575222e+01 9.031479333175783664e-01 1.591348998428437633e-01
1.120481788859628125e+01 7.335977216017758318e-01 1.604354599313279894e-01
1.273850939168035978e+01 5.787695817051154989e-01 1.522630747979363264e-01
1.271699251799145536e+01 5.834888337786777734e-01 1.543037380286568783e-01
1.158241266925149304e+01 7.465037841248599593e-01 1.143345836972398527e-01
1.442279717061218136e+01 4.881829099433294128e-01 1.171487617416242660e-01
1.081434617477956017e+01 8.128865330219755547e-01 1.424960696019008377e-01
1.063717413038006043e+01 8.914016974973749674e-01 1.146410554789302205e-01
1.090614649351450716e+01 8.943752632498498389e-01 7.952987858738946869e-02
1.226241419228372109e+01 6.403262848436631627e-01 1.412583020402513045e-01
1.119752868704427584e+01 8.134497849952602166e-01 1.035829731159979700e-01
1.054781654054018958e+01 8.559888252876707293e-01 1.355675322910554759e-01
1.020696481652424481e+01 9.815388816190617760e-01 1.008109856330581117e-01
1.252714585927464874e+01 6.194348830912390635e-01 1.294418664028583466e-01
1.399394826279990234e+01 4.759213693875352091e-01 1.689233583551297269e-01
1.115260554627304757e+01 7.936665167635299500e-01 1.251274823570978634e-01
1.067432967674488609e+01 8.406547656771952148e-01 1.352454315140990682e-01
9.832595201994976719e+00 9.933131843093170321e-01 1.397630808320269591e-01
1.130726265309589529e+01 7.292649441380162356e-01 1.636341529925912919e-01
1.507986205861122997e+01 4.209681613302534431e-01 1.565521575869229798e-01
1.290714364023938110e+01 5.845330679487907855e-01 1.340523052959941563e-01
1.483085878389743861e+01 4.564531841581894733e-01 1.304066908251087786e-01
1.260752672738998115e+01 5.848542495654355244e-01 1.595641489491798071e-01
1.302904983355569613e+01 6.133494572355764340e-01 9.120789172083400287e-02
1.034475248572814898e+01 8.832389424788390508e-01 1.516377038924808240e-01
9.999214996002024236e+00 9.191031765063252257e-01 1.569026173179863815e-01
1.066618846105645702e+01 8.093706748903682913e-01 1.660722145882742029e-01
1.140105272283590843e+01 7.748308089532300880e-01 1.092139741332913833e-01
1.006191300187901838e+01 9.253145350415239445e-01 1.501191669853343402e-01
1.054749939666150915e+01 8.800021193594655955e-01 1.273179123161212178e-01
1.060063032475676437e+01 8.583249243356672054e-01 1.334144887535909096e-01
1.177487016398853825e+01 6.923087184306986330e-01 1.434243276139369194e-01
1.019204545913373927e+01 9.394425363312719490e-01 1.322747770574454196e-01
1.228416165487634082e+01 7.066819956501878552e-01 8.264815895846157334e-02
1.374374855184041344e+01 4.996116051674793224e-01 1.622328464282772886e-01
1.029310845014156328e+01 8.627038199113501449e-01 1.704336020897856407e-01
1.081932995712708845e+01 8.541090052668286470e-01 1.136019557350923803e-01
1.226351445485114944e+01 6.693610093343802525e-01 1.216686742321746589e-01
1.513664905750098377e+01 4.187312066048095027e-01 1.564527877671491318e-01
1.126447072267791683e+01 7.139451097898549259e-01 1.761915252108937902e-01
1.548050258817875502e+01 4.271267236605165163e-01 1.218792090937672046e-01
9.982487471282228242e+00 9.923423940702027490e-01 1.174622589901593850e-01
1.025959598231510661e+01 8.837145199580996868e-01 1.577194677523505173e-01
1.285942922706073510e+01 5.946570139512736830e-01 1.353726314132185637e-01
1.168167414908170265e+01 7.359526747561493387e-01 1.120435165554747592e-01
1.381190199063774138e+01 5.180603494970128509e-01 1.288198403498884426e-01
9.897476650536075837e+00 9.452120763331571807e-01 1.526637953100989653e-01
1.159134167582970854e+01 7.793995302756494548e-01 9.103556375796001410e-02
1.463768946713567942e+01 4.554049501318087056e-01 1.442827119407110448e-01
1.133155821252626261e+01 7.183858146736703532e-01 1.596581647062287335e-01
1.073993357066711951e+01 8.233580259349491115e-01 1.461923781000958322e-01
1.189775182536767595e+01 6.659541940186228803e-01 1.493496587181851187e-01
1.005809161115083228e+01 9.760412037632746340e-01 1.242396109679288208e-01
1.038770118721624591e+01 8.613811427297918266e-01 1.498680780979365634e-01
1.150784860327741477e+01 7.450576940029538520e-01 1.188238083296601771e-01
1.043499594011823994e+01 8.672377276839069449e-01 1.502787417341331644e-01
1.163819248614704804e+01 6.521497774999069907e-01 1.871408740184873076e-01
1.128789555779735210e+01 7.652595972820195325e-01 1.301853330125425645e-01
1.719914255519502078e+01 3.921322582094711739e-01 5.322843518896572257e-02
1.312067074819295343e+01 5.681307111040353464e-01 1.345890988119077258e-01
1.009903649504515144e+01 9.458259319584380043e-01 1.274179477998902965e-01
1.227750938323459984e+01 7.201648634325553688e-01 7.323094519423824222e-02
1.068715821051131876e+01 9.287697970777699652e-01 8.514375585772729349e-02
1.190561123208198779e+01 6.764131055327318176e-01 1.402211726365995004e-01
1.180509644602590846e+01 7.331060183828344012e-01 1.026623170352907177e-01
1.191743637691369173e+01 6.429987918459900698e-01 1.734882870523656861e-01
