# m1 q z
1.830698935168821961e+01 8.672038955920933212e-01 2.133812454547639181e-01
1.996424442248488518e+01 7.069324971692838577e-01 2.453054225237705221e-01
2.103195878825092890e+01 6.559842269289288819e-01 2.094261505316880878e-01
1.900747281030491820e+01 8.419093152953223136e-01 1.837552597747603433e-01
2.122094818575875053e+01 6.407910736429803800e-01 2.561730195995292614e-01
1.691641535679542940e+01 9.402465797521515345e-01 2.487179224627800167e-01
1.804038709433641330e+01 9.890467034210567165e-01 1.515270041890395547e-01
1.572600354480919016e+01 9.507580041669775328e-01 3.266354569601401803e-01
1.871684868091354659e+01 8.113696838015693746e-01 2.427866168439461458e-01
1.960034692979934334e+01 6.765534578411422917e-01 2.552584855253192120e-01
2.649706201217664514e+01 3.520396678188365547e-01 2.076502178777865359e-01
1.711660320983186168e+01 8.854252578638711624e-01 2.391444646431402643e-01
1.599741916720395096e+01 9.189264753439443378e-01 3.352987507784355725e-01
1.829508331476871419e+01 6.916139055451684392e-01 1.964739866649321542e-01
1.956889626615540223e+01 7.043156705289159714e-01 2.393824327279595043e-01
2.001938374490091377e+01 7.166842817487951711e-01 2.331233811968922987e-01
2.102769678101545381e+01 7.087251298991207316e-01 1.298171444929054341e-01
1.961540327643241710e+01 6.635981765687679612e-01 2.544714433755829730e-01
1.737287056614082559e+01 8.058154304794231670e-01 1.845940810022688727e-01
1.832238144094061738e+01 7.751585859505092380e-01 2.588494329397008076e-01
1.750039948733141060e+01 8.991692246275303502e-01 2.479251233844678159e-01
1.733595238390914162e+01 7.384231790521075256e-01 2.929710439623458007e-01
2.717221636539062146e+01 4.098455240987686210e-01 1.671844689609557899e-01
1.645845309180934279e+01 6.916779398903467602e-01 2.700558620375342889e-01
1.894564661765926417e+01 7.965279723338593021e-01 2.182998879670574321e-01
1.905655320495320382e+01 7.216695034213396198e-01 2.904595523726393735e-01
1.884450285166075290e+01 6.795352207924180155e-01 2.608299183120453280e-01
1.916518867874183485e+01 7.044419373224867220e-01 2.332660156826124043e-01
1.859793947476620701e+01 8.192261445533367548e-01 2.352250191459039630e-01
1.986950532400307523e+01 5.427066503927816532e-01 1.701537850665462981e-01
1.513418338449993250e+01 9.042887959421507249e-01 3.074679181144225892e-01
2.178369821110674209e+01 7.056866740590543863e-01 1.181097885399233216e-01
1.803809185250223024e+01 8.295399621598137374e-01 2.244113456069292134e-01
2.378824951772556773e+01 4.446389855666235125e-01 2.076316260218739052e-01
2.064400332576302333e+01 6.446733288097081793e-01 1.362761911929546155e-01
2.007396560937237950e+01 7.342996303367793631e-01 1.795932474459469019e-01
1.883608945373559607e+01 7.965279723338593021e-01 2.253859384374604369e-01
2.266718398001472679e+01 4.810158190400759537e-01 2.437314092227399198e-01
2.520954163461854591e+01 6.434770035654465703e-01 5.707539551843067438e-02
2.065691699705963913e+01 5.797851666159336004e-01 1.906340152253159781e-01
2.344202099503035441e+01 5.463764732965687987e-01 2.036162995449221358e-01
1.969382279338996966e+01 8.056006289903523410e-01 1.559487985042305735e-01
1.977385338723396657e+01 5.945236614426939736e-01 2.564409369343191303e-01
1.604808145392318863e+01 9.967631895685570287e-01 2.762643750721506253e-01
2.165615982114298177e+01 6.369515250064168299e-01 1.787660855815522698e-01
1.915889888117997941e+01 7.645938724925185337e-01 2.069869335120074483e-01
2.098652689518418057e+01 6.731313289962898017e-01 1.569957071664337123e-01
1.785704599661337255e+01 7.720793714310421052e-01 2.315444300365088470e-01
1.935343357248027729e+01 7.813530383261055867e-01 2.474459925110174263e-01
1.957571852917514832e+01 7.262445007626361360e-01 2.384023106257532054e-01
1.974444954711119138e+01 9.082070423232068146e-01 1.430378326889552021e-01
2.044518119140337831e+01 5.350953448115588484e-01 2.313753698142920479e-01
1.843804551790271162e+01 8.100594845359891938e-01 2.151721764151812710e-01
1.775216271497598086e+01 9.071420342363295530e-01 1.922038763605715128e-01
1.610524272578541272e+01 8.583780883404678042e-01 2.159947974000055448e-01
2.384097027035546290e+01 4.926655531338354765e-01 1.726431473411431383e-01
2.011011569164142898e+01 6.183924348867548826e-01 1.540372001505656285e-01
1.931385396092592543e+01 9.380926075131025277e-01 1.490213693648673177e-01
1.734378306743539255e+01 9.008941151256923963e-01 2.576236940103651119e-01
1.951067811124395845e+01 6.417716063816435446e-01 1.799151033779791964e-01
2.189867652523943420e+01 5.503323725621086515e-01 2.549912704315031586e-01
2.653345248689620917e+01 3.676904420684709573e-01 1.649219034895572089e-01
1.871258262758421509e+01 7.472497041404703166e-01 1.634109389709320070e-01
1.594834193050100524e+01 9.547125325163958731e-01 2.041502792444172265e-01
1.660130037478510090e+01 9.138313284456290875e-01 1.565140324920769044e-01
2.345244948167591659e+01 4.979994654075844962e-01 2.262844257925730185e-01
1.717254298383062050e+01 8.895930246647494322e-01 2.299766844252722209e-01
1.841700538793587327e+01 6.785666876056571928e-01 2.395961541675899475e-01
1.896680959903641650e+01 9.952480422059121201e-01 9.397515967330155595e-02
1.894540319855586930e+01 7.228142456794045545e-01 2.747643842275352410e-01
2.299752303663763442e+01 5.625312812100279336e-01 1.742449923736208994e-01
1.874286413837405973e+01 8.346687735175269962e-01 2.056680402820607323e-01
1.995103280161090353e+01 5.991787183816079665e-01 2.171918574053593731e-01
1.795996006909100373e+01 9.334496895430208774e-01 1.815001998494357172e-01
2.008268434839897054e+01 6.439472417038623053e-01 1.827756069602708422e-01
1.606398617774861748e+01 9.810863023551498197e-01 1.573806141731007580e-01
1.900571577131023560e+01 7.049967368903923282e-01 2.735351656494733885e-01
1.727453043752652917e+01 9.121520326536542989e-01 1.556926690267857460e-01
2.041478304408055422e+01 8.122437080962966460e-01 1.208640744723686877e-01
2.504295458644402217e+01 3.498858181205619089e-01 2.284871038987711656e-01
1.784028493084392153e+01 7.446443804981742742e-01 2.313288422575473235e-01
1.830521744652279281e+01 8.893768891434241652e-01 1.943751002531292904e-01
2.277939279835648634e+01 5.933772889155822794e-01 1.526246710801882900e-01
1.580494832394494331e+01 9.630342560437232802e-01 3.073496732256245090e-01
1.949779545864883801e+01 7.882589432400122220e-01 2.357147542965478126e-01
1.730808565876957061e+01 9.404187997785383724e-01 1.457675965082561587e-01
1.901222641275879965e+01 8.203001758667178844e-01 1.889579621983708546e-01
1.708576011361189728e+01 8.927946426269923741e-01 1.647302975965581617e-01
1.970740240060227322e+01 6.330014617919257347e-01 3.117698828479280038e-01
1.729632337812916631e+01 7.796775165778143668e-01 2.148678035372406647e-01
1.906223457047834202e+01 7.918120678227261733e-01 2.420552102871512401e-01
2.280117425846369983e+01 5.299021225592273066e-01 2.416289611028715201e-01
2.087496796232605334e+01 5.336472839871871932e-01 2.246840999594624244e-01
1.800794176651443834e+01 7.268552383960920071e-01 1.986089570506484048e-01
2.162412552054358983e+01 6.509587333619624161e-01 1.232192513895088160e-01
1.985083831776817576e+01 9.501181752605412090e-01 5.697487356792101110e-02
1.784023080464354294e+01 9.227492515314885679e-01 2.358262933742288070e-01
2.101508265655420260e+01 6.869277472670008988e-01 1.735918407286119736e-01
1.578236281776320205e+01 9.002448746836025917e-01 3.099478786183068602e-01
1.702698348937037309e+01 9.744849951657988951e-01 1.203208552171922130e-01
1.664616244949380075e+01 7.550147259838310143e-01 2.999295371045819780e-01
1.823170417021776757e+01 8.075899040677015917e-01 2.420855301060825249e-01
1.796389047455757648e+01 9.663660272888753289e-01 1.636063974098805052e-01
2.116387728826259007e+01 7.044273885487779552e-01 1.848248099649474063e-01
1.911662857177063302e+01 7.092116201660348951e-01 2.563361805490037559e-01
1.885145209523097876e+01 8.189065887730845317e-01 1.975945297591410188e-01
2.488755731708319630e+01 3.424967539383565462e-01 1.832825605305317962e-01
2.490059842460255979e+01 4.147096594170827655e-01 1.799630218816248017e-01
1.733380707452217351e+01 8.548160452439740320e-01 1.267860680025855447e-01
2.087840208265495434e+01 6.481539419724879902e-01 2.096075220464677646e-01
2.079032493631239475e+01 7.297599850411575773e-01 1.855708229473235771e-01
2.261930762488763236e+01 5.581310517520989833e-01 2.121029773979631883e-01
1.750556225947167732e+01 9.779986225637395947e-01 2.026169074645681745e-01
2.308010585357869360e+01 5.583639139457762246e-01 2.305625991680144982e-01
2.189465616863705577e+01 5.757642516953089817e-01 2.062913229447953800e-01
2.025196436764466767e+01 6.254507176882424524e-01 1.771285430213200562e-01
1.869758557607065441e+01 6.949766580908345315e-01 2.013847768154603257e-01
1.838458008708267499e+01 7.990345165213670331e-01 2.472612501723439327e-01
2.059764645697234187e+01 6.642775195575240099e-01 2.187556148809804424e-01
2.525917293064837565e+01 3.999480157345374209e-01 2.963482328511045649e-01
1.977432865705198850e+01 6.730291311886940075e-01 2.275082353454889739e-01
1.923359080328609494e+01 6.785684188289409224e-01 1.997186157943241780e-01
2.009591708015983258e+01 5.985003208260676333e-01 2.027122590935662438e-01
1.939658448625429443e+01 7.117751238116685197e-01 2.504176602188556977e-01
2.018675465880122388e+01 6.900888517397238964e-01 2.261857305837770560e-01
1.785401040751383306e+01 7.926286141319207612e-01 2.677499214832863572e-01
