# m1 q z
3.496232066512202863e+01 6.457236572080932158e-01 2.447344329730218870e-01
4.182211735885568515e+01 4.356303589165120282e-01 2.102696882180827842e-01
3.910589710935096264e+01 5.326470872728129580e-01 1.981433148791127696e-01
2.764019788637381225e+01 9.677340892974730657e-01 2.634436345436072524e-01
3.562544599155972946e+01 6.953258927633521047e-01 2.639929004799509427e-01
3.293271251335421113e+01 7.929310014190827927e-01 2.101821434300568114e-01
3.498374731544752336e+01 6.342951868541846228e-01 2.466340483081261026e-01
3.382344379133859746e+01 7.003242077865472481e-01 2.319283008145489322e-01
3.259469732827709265e+01 8.848595691761574900e-01 1.665774284956824114e-01
3.330280515196515978e+01 7.127657146707776503e-01 2.402231086976917285e-01
2.868981112110331821e+01 8.618513881736137305e-01 2.291149985156394064e-01
3.706783969727833750e+01 5.739939730459864276e-01 2.009835730723836533e-01
3.288252192796759488e+01 6.996378126580841128e-01 2.681164370586986423e-01
2.961795125637195980e+01 9.289690739300114908e-01 1.740428377608662092e-01
3.511475042851611761e+01 5.825099144802784457e-01 1.620440777042304603e-01
3.871855841649820462e+01 5.382520582204698423e-01 2.153674547883569490e-01
3.425164923570003594e+01 7.101702046927663714e-01 2.261126806153507529e-01
3.420003226067385071e+01 7.460405280533523031e-01 1.075742661673469713e-01
3.883042078882751014e+01 5.172265995912178616e-01 2.179200410921807995e-01
3.966484561466842251e+01 7.630746356215637460e-01 1.402378102542354565e-01
3.368787390515432634e+01 7.088883650192235875e-01 1.845346753075905732e-01
4.215063648372431260e+01 4.213287096235363016e-01 2.243091091701347461e-01
4.364511615110479426e+01 4.176078251883798553e-01 1.830351240290543913e-01
4.363222723118691704e+01 4.305227484032849716e-01 2.226525004869175373e-01
3.325016313912998100e+01 6.437139108108054231e-01 2.430799568949411626e-01
3.225576238060914136e+01 7.159523435693826432e-01 2.263662841663079683e-01
4.283239324470201126e+01 4.602613468039373212e-01 2.177652035321559765e-01
3.405810395034369975e+01 7.469100893163891364e-01 2.172347132575707662e-01
3.340948912102155077e+01 7.300373093149200576e-01 2.412028439102686661e-01
4.188189836096825758e+01 4.502756097080272135e-01 1.983851525015994377e-01
3.271078777863611720e+01 8.004970684303081008e-01 2.116049177617899124e-01
3.398779819494246368e+01 6.893720741009529140e-01 2.427638761132246137e-01
3.615070432142919543e+01 6.824366752963705318e-01 1.560499633585835100e-01
3.875979380423059695e+01 5.005214366858037334e-01 2.299789056182472702e-01
3.640554093432080407e+01 6.513063874251119323e-01 2.009658214235291174e-01
2.878016041592779217e+01 9.840421326097271715e-01 2.199742968006123955e-01
3.486631436154762298e+01 6.676584561164414788e-01 2.253992391618001578e-01
3.038516980791389344e+01 8.177570553941950759e-01 2.329077975796755295e-01
2.792402601793527595e+01 9.990523808380782356e-01 1.821778622166282668e-01
3.831516980974105735e+01 6.603633920347780073e-01 1.370862007270993443e-01
3.329101622720813936e+01 8.268661890779572810e-01 1.941096810695110975e-01
2.925181972824138299e+01 8.674322111217248610e-01 2.430681540628572279e-01
3.824355497836063478e+01 6.610861823572511398e-01 1.946666443458399953e-01
4.342930652024404026e+01 4.661720704567433593e-01 1.956376983970041783e-01
2.970423947214037952e+01 8.232073299851804249e-01 2.469153475471999593e-01
3.803694118576250816e+01 5.821368499753811765e-01 2.205481708628159732e-01
3.305099635720670648e+01 8.737445408751657316e-01 2.194303805446211619e-01
3.808174187780618780e+01 5.527055662310245143e-01 1.739921835888949553e-01
3.020322666483215102e+01 9.538941190909255852e-01 2.359451421064174548e-01
4.238840632662553531e+01 4.699154527073254317e-01 1.665451992515905866e-01
4.000347222256958446e+01 5.479211264493816236e-01 1.965906669223916325e-01
4.016464152929493281e+01 5.455776411013777416e-01 2.023092840945371063e-01
2.821004225821692657e+01 9.677902589694066249e-01 2.768966185511436140e-01
3.659341155524502653e+01 5.862024950084746555e-01 2.222747139078586065e-01
3.371795746068804078e+01 7.240041022186547437e-01 2.358670302263994600e-01
3.296063533739270213e+01 7.476554160948162275e-01 2.158312695579169826e-01
3.872173186093979069e+01 5.679289009055581428e-01 1.629115904463784292e-01
3.835155508578577610e+01 5.316617216885187736e-01 2.176598205007846953e-01
3.532101217737288579e+01 6.143169899972292791e-01 1.985163594511216434e-01
4.181933630309714545e+01 4.769904254867538551e-01 2.432165892748633373e-01
3.420450350970769904e+01 6.973559857472797496e-01 2.371643573261627558e-01
3.316859941203644979e+01 7.865808275587946596e-01 2.381635222918022932e-01
3.262035060782337581e+01 7.579520623070596930e-01 2.437746758145888648e-01
4.094667748445799305e+01 5.548440539046946007e-01 2.120076723567242694e-01
3.476851625508020049e+01 6.894553666286683535e-01 1.839770379764944785e-01
4.352422187225531758e+01 4.470991818366453763e-01 2.099321595687537456e-01
3.992724568361091286e+01 5.353223069892858454e-01 2.078537357426642751e-01
4.064092229161695968e+01 4.666633872783710890e-01 1.961846579791782508e-01
4.062915560267938986e+01 4.903741612049119514e-01 1.929832934729286409e-01
3.131110053086163703e+01 7.369968853660239239e-01 2.329629842262885830e-01
3.204555390768567946e+01 8.213404513686943798e-01 2.396280395267072483e-01
3.551245783087379948e+01 6.863658088886132047e-01 1.831692628657061728e-01
3.873621589550466382e+01 6.158227920971601765e-01 2.305388746313035142e-01
3.424214466051752481e+01 6.709105167449879170e-01 2.271528660753348305e-01
3.981215420628365109e+01 5.618209552498352188e-01 2.194447901073779683e-01
3.144666590008726104e+01 7.447759925026431471e-01 2.253242004544999399e-01
3.546226064199702677e+01 5.742179859950496956e-01 1.337927734774131683e-01
3.405378223663882409e+01 7.278014505258387778e-01 2.234767415156233006e-01
4.395584634412266212e+01 3.891855379160885642e-01 1.477439076537089002e-01
3.509642616217033151e+01 7.030194507569896833e-01 1.882286986599788214e-01
3.078436902167086231e+01 8.182797235181598072e-01 2.467718073306075510e-01
3.104826893198308824e+01 8.974429028966205424e-01 2.297566506906231765e-01
2.697510273550013693e+01 9.864446895344127775e-01 2.126472124051574653e-01
