# m1 q z
8.651141150028619720e+00 8.722262533434992360e-01 2.007644919276033724e-01
9.507170253489743317e+00 7.932600077552769413e-01 1.586237422240841799e-01
1.519668556323899899e+01 3.423874957617765169e-01 1.277103685061415361e-01
1.517269601798924761e+01 3.148891492556986083e-01 1.840813729440285706e-01
9.739620274581332282e+00 7.033403473580238652e-01 1.993965890591838652e-01
1.136427300537974894e+01 5.505135675477693669e-01 1.597177698794690626e-01
1.046266618946098070e+01 6.616079409730249994e-01 1.495324828430367736e-01
1.176924112038266124e+01 5.046611121106771014e-01 1.828577367584678093e-01
1.357990577307570490e+01 3.782288349719971632e-01 1.902843113064726921e-01
1.053345334059356198e+01 6.626221780091849922e-01 1.412738549452281223e-01
9.671907053159962686e+00 7.589115310581648899e-01 1.568248473109208618e-01
1.233696280039197468e+01 5.022159609195173680e-01 1.263751553757534729e-01
9.552194257295159474e+00 7.740463450665000522e-01 1.609221593633615999e-01
1.150114827505816351e+01 5.202367968174260726e-01 1.797095389435396373e-01
9.718608139276559754e+00 7.904746300258430614e-01 1.365167968018592137e-01
1.147421491788676562e+01 6.341155898826944526e-01 6.996532410946669500e-02
1.189677241455048495e+01 4.934669319085909223e-01 1.796784957547528372e-01
1.061797543123603305e+01 5.999335762211165379e-01 1.933786278721484342e-01
8.823242798741372184e+00 9.121511404670079592e-01 1.525510608592650363e-01
8.374213148366562720e+00 9.310343607772227914e-01 1.959880220050288779e-01
1.128486519114058595e+01 6.257498212268990390e-01 1.010065912033376173e-01
1.173358125325857060e+01 5.053698222109807014e-01 1.807554283533386874e-01
9.869871420962700981e+00 6.584847438325100999e-01 2.140608473527871314e-01
1.096851946393846156e+01 6.593224368032546412e-01 9.630752715855023238e-02
1.273255067815893682e+01 4.570994723239349966e-01 1.443164218262838749e-01
1.014808113381578991e+01 7.345075644583696217e-01 1.230859003253432504e-01
1.032290876163218307e+01 6.932195400562806142e-01 1.350562627399773952e-01
1.266591446519832509e+01 4.769130065704711985e-01 1.228259919248343157e-01
1.477935314809671929e+01 3.268562044249738729e-01 1.922453744866036984e-01
1.036512133356155374e+01 6.769270339607595943e-01 1.435696714508295502e-01
1.105631425226267339e+01 5.628877887222824006e-01 1.853306554494883185e-01
9.095031613752958322e+00 8.001718601316532009e-01 1.976257067153077140e-01
1.204125720613200201e+01 4.986550330900554329e-01 1.592674532518323360e-01
1.516707162163286071e+01 3.442903945604289251e-01 1.309304992155211345e-01
1.109763925495657411e+01 5.974024538871153256e-01 1.493780455102959870e-01
1.155037358787817858e+01 5.228162867246782808e-01 1.804422149496862915e-01
8.615371451901090438e+00 8.872801944025198173e-01 1.966618645032990609e-01
1.493241961122071260e+01 3.321770046313173852e-01 1.742675543050652143e-01
1.064830661598096739e+01 6.543501648015167538e-01 1.333751916087900780e-01
8.429613626765076972e+00 9.523549107109755552e-01 1.741195737110276809e-01
9.665390343273552176e+00 7.653990084960595741e-01 1.486977295547291245e-01
1.429413388967773102e+01 3.496517928656002749e-01 1.827858654749281164e-01
1.102429465910795514e+01 5.436687052460656977e-01 2.098838993665880226e-01
1.214984855023370791e+01 5.057699898872104471e-01 1.439330150108286133e-01
9.631008587944190680e+00 7.719207057010730733e-01 1.522553276103535413e-01
1.223724794965696994e+01 4.832420922823929543e-01 1.542008016152446870e-01
1.100962400573163258e+01 5.786661587771928517e-01 1.688327187461910739e-01
1.050898331277856812e+01 6.111337667806368001e-01 1.843571313032457415e-01
9.396004581299841618e+00 8.173343755528248433e-01 1.420645881561339030e-01
8.659044035293755215e+00 9.840732640882345894e-01 1.250645753210478106e-01
1.098573581026864865e+01 5.978853973475559691e-01 1.548517007621294239e-01
8.793646481335409604e+00 8.942932182342472336e-01 1.678953152824931294e-01
1.067503323888658961e+01 6.676959005399150104e-01 1.217983428394421724e-01
8.334698134066783837e+00 9.977691020977861314e-01 1.673694774045175193e-01
1.089119363685656872e+01 6.359849390417869897e-01 1.341263240909880416e-01
1.384609142227517431e+01 3.960508126459666434e-01 1.445400221387878881e-01
8.687815739901875389e+00 9.695641358430315826e-01 1.344446756372627561e-01
