# m1 q z
3.773417020873879579e+01 7.420062289562556757e-01 9.685521135452596075e-02
3.686892311589058124e+01 8.286137231809234116e-01 8.587206544172658329e-02
3.168098707431925476e+01 9.786452298277440454e-01 7.880871864762370449e-02
3.545698562588709990e+01 7.090149115914825551e-01 9.368704545818169749e-02
3.480081266206012458e+01 8.272367549266603781e-01 1.208250658279877710e-01
3.202385705407112226e+01 9.184356413673361308e-01 1.188359398297145486e-01
3.681567722218358085e+01 7.704558598651536361e-01 1.093134423281218875e-01
3.297951622336385213e+01 9.407054229204776519e-01 1.146395825075511715e-01
3.736161356597041561e+01 6.362555861197102258e-01 1.043811674354142849e-01
3.404533166827484081e+01 9.344937076756696381e-01 6.773271153003401768e-02
3.190701310533900070e+01 9.787967867564686397e-01 1.099143025541474972e-01
3.374092720546027380e+01 9.169570945582452559e-01 7.297994833839582807e-02
3.457571766958482584e+01 8.684229704017476514e-01 1.123716496767472317e-01
3.852004606469146353e+01 6.741933904223971208e-01 1.161169951826801910e-01
3.997126541903862318e+01 6.419973733807138316e-01 7.739270474245536768e-02
3.729074821869443923e+01 7.505107370938817191e-01 9.439481510486091853e-02
3.662336282010777211e+01 8.279927595961535935e-01 1.026439958806339564e-01
3.528359887129353467e+01 9.243451381812358703e-01 6.225742683274772954e-02
3.321794394232431813e+01 8.489053064050482433e-01 8.791074864034822967e-02
3.564132568931172784e+01 7.343246306098151210e-01 1.036906188632951004e-01
3.468462559030087533e+01 9.747472544785772408e-01 6.949420866310630773e-02
3.666570068562474916e+01 7.395512783748610097e-01 7.227293619404515090e-02
4.080931524004694921e+01 6.768085982727062300e-01 8.135878655395027692e-02
3.843945346710667366e+01 7.198523156461593686e-01 1.069584949539967716e-01
3.337307289278778200e+01 9.089918748326771825e-01 8.057984325271429216e-02
3.495263696650992102e+01 8.397102379757436230e-01 9.274953054228858573e-02
3.229753838913727293e+01 8.566505075310215656e-01 8.750078520618326250e-02
3.569113759458140578e+01 7.896767382471444607e-01 1.041527674651200192e-01
3.350103211353454924e+01 8.798664510788746229e-01 7.863173345232429834e-02
3.251712573979487075e+01 9.509048969358200321e-01 9.888149798133040458e-02
3.436039680713786026e+01 8.221362730954839826e-01 1.072352114581998639e-01
3.605933400985026793e+01 7.923919075400850387e-01 1.088234135521015111e-01
3.519044738043279352e+01 8.415837692385026436e-01 8.104882100871457773e-02
3.173789121547643433e+01 9.652391975060277129e-01 8.818619434575528104e-02
4.236259120532411515e+01 5.997316358631047395e-01 9.026883033222626862e-02
3.876850295754815079e+01 7.696140520167679133e-01 1.062169538648085054e-01
3.251042583573983791e+01 9.156379098931646254e-01 9.315638915129613451e-02
3.343762280039029378e+01 9.478127311719715120e-01 1.046078743051188781e-01
3.653177804336509382e+01 8.679455917032731227e-01 6.668132190239088597e-02
3.659355665242195244e+01 6.713953609142168100e-01 8.456984633144851160e-02
3.610069478499038809e+01 7.411633043939587218e-01 1.132263346347053556e-01
3.314495961341215491e+01 9.638702520296220655e-01 9.279004783145487767e-02
3.508106099466121464e+01 8.052147650119886313e-01 9.783906852011343969e-02
3.371378576498103286e+01 9.308409018035673776e-01 8.171849977360501338e-02
3.707365638502250249e+01 7.062883936100082805e-01 1.064270397061791301e-01
3.061360806487971331e+01 9.961998404667917750e-01 1.039644340786436416e-01
3.967946153482532878e+01 6.196199836761088209e-01 7.305350016907186106e-02
3.487568955418579009e+01 9.176586311540277929e-01 8.754112763229719707e-02
3.238936301621519220e+01 9.065013500099325938e-01 1.020067303682969800e-01
