# m1 q z
1.009424441176347820e+01 9.474335652537738683e-01 1.282573282145864080e-01
1.538899158487402552e+01 4.393937673989476433e-01 1.124772451286944058e-01
1.454321689243569971e+01 4.948993751709389599e-01 1.046084754640323744e-01
2.523327632223237416e+01 1.814226449118029605e-01 1.133187732593916031e-01
1.529710920538833818e+01 4.402373484470530340e-01 1.076797942443480510e-01
1.556371162621267956e+01 4.396948249164372990e-01 9.787240745485913107e-02
1.095019779451786590e+01 8.523655096319276980e-01 1.004467819257780226e-01
1.420537168253190963e+01 5.179469443227581182e-01 9.919671730270550325e-02
1.506198985496084219e+01 4.539008059385654659e-01 1.115971199011252663e-01
2.455080872066828235e+01 1.905295567953128877e-01 1.119187692308403481e-01
1.474681273679499505e+01 5.098028274067100130e-01 6.669353262627511492e-02
1.758944573636392761e+01 3.524811952715923291e-01 9.989453526629440971e-02
1.614680337340636385e+01 4.300547676709353118e-01 6.387533948154408558e-02
1.044413877519000167e+01 9.217219439490975663e-01 1.145978497124103823e-01
1.459986111655168628e+01 4.801803510641927675e-01 1.181360795057598834e-01
1.277540712891521402e+01 6.177348113243770200e-01 1.190737298208488504e-01
2.232688582908793506e+01 2.231321285945278010e-01 1.156042617313763204e-01
1.147670030391783591e+01 7.392941183437857777e-01 1.288194850842500627e-01
1.532776642881700013e+01 4.513766626245282465e-01 9.682155502770033173e-02
1.524132426058222300e+01 4.404652551614211542e-01 1.165545184426981101e-01
1.286579277902816010e+01 6.314312818365789282e-01 8.539163918901696015e-02
1.606322053643074454e+01 4.186629086930271360e-01 9.249451032735772626e-02
1.704579569338628531e+01 3.610062561139774084e-01 1.101520985821479448e-01
1.158046223057229795e+01 7.525416833492779567e-01 1.172874558977055615e-01
1.327796551410462911e+01 6.276853284907142339e-01 6.662487684744622385e-02
1.615874453087697304e+01 3.935784349654557479e-01 1.232621314490877362e-01
1.454085532167965056e+01 5.241168833268612381e-01 7.146135140407736119e-02
1.763890827765804659e+01 3.465506553511911170e-01 1.091156416984202793e-01
2.875719195744313694e+01 1.470539048164519469e-01 1.054271643959075605e-01
2.074822724098528326e+01 2.592609495252991558e-01 1.035217387816066703e-01
1.318849085809988786e+01 6.293757340699952518e-01 7.590282805215664563e-02
1.141792919616394464e+01 7.516030267385670482e-01 1.304032647321888005e-01
1.992698472916578112e+01 2.678688154416463685e-01 1.317215509374385085e-01
1.226918440545142808e+01 7.631021205786137074e-01 3.638857250475904109e-02
1.220707933598092509e+01 7.049182168052647857e-01 8.263836805366121807e-02
1.376775714783471116e+01 5.473142282719487550e-01 9.589017326623595905e-02
1.637544129450080632e+01 3.690215831678533287e-01 1.440637924809671511e-01
1.776871544561905480e+01 3.404976009890380295e-01 1.045223080140103983e-01
1.238637362164016409e+01 6.874972253695967872e-01 8.996217270837343627e-02
3.464904633060183414e+01 1.145169873314962478e-01 6.918927962710606783e-02
2.512748797430759495e+01 1.862461366458735834e-01 1.046957129478280485e-01
1.193238796371514709e+01 7.356551475657522321e-01 9.431399695733946875e-02
1.218538688928497038e+01 6.460188195021832058e-01 1.317987781594881502e-01
1.078596351167305656e+01 8.964206798336886717e-01 8.704047519490205886e-02
1.490900124356895162e+01 4.672802339767571089e-01 1.039856182320850059e-01
1.599415544681248313e+01 4.221732692318296287e-01 9.200349688108129531e-02
2.714069266716209938e+01 1.659133354527998760e-01 9.522065770381936411e-02
1.313219895973786855e+01 6.772617410876103916e-01 3.798225898065538814e-02
1.494328691445305246e+01 4.604493935965803253e-01 1.152875484116405030e-01
1.413317734571322148e+01 5.017045644468606236e-01 1.227020067142682025e-01
1.365188256675071798e+01 5.471341495523940335e-01 1.107732079749070842e-01
1.080311635951270333e+01 9.346377702182031566e-01 7.328948175565397349e-02
2.022878097883423720e+01 2.802591158126557791e-01 9.014447511300628657e-02
1.833996543886065211e+01 3.310519999599650376e-01 8.447518775228174404e-02
1.368335849914132574e+01 6.004924049583710843e-01 5.720816099460122178e-02
2.160610983400645679e+01 2.367647758792136292e-01 1.121730662403269407e-01
2.051582895398027162e+01 2.755729694787785733e-01 8.326852935796053012e-02
1.634318598964172864e+01 4.005371434360208149e-01 1.021905987792191967e-01
1.793271702302715553e+01 3.523272518510363049e-01 7.043452654482708353e-02
2.713640406875938638e+01 1.700220892858465838e-01 7.543251921052136766e-02
2.843508929200951130e+01 1.570061399604893992e-01 8.259838993458833156e-02
3.975718104888111526e+01 8.536856413425467083e-02 1.068792172257890527e-01
2.670108311485627439e+01 1.700798263974956370e-01 9.616289523214782697e-02
1.582694933281466199e+01 4.217884632618036922e-01 1.021122652815273507e-01
1.640173980227907435e+01 3.921631422699238811e-01 9.943715063912898777e-02
1.721723586004280904e+01 3.728415614884653673e-01 8.522677114852537927e-02
1.328248831947618491e+01 6.102557181963039756e-01 8.182408819245810816e-02
1.732461831185408485e+01 3.552823651484466883e-01 1.037386642638065820e-01
1.434058439872413615e+01 5.331093556015634727e-01 8.190327285829035464e-02
1.211928930878459809e+01 7.048437529443329908e-01 9.966521016097532049e-02
1.537014088559846670e+01 4.980519496328839613e-01 4.287896115539945041e-02
2.152310725777821077e+01 2.305914970752794557e-01 1.343314175024938328e-01
