# m1 q z
3.517713850568188860e+01 9.576196988715848235e-01 3.798937073683643639e-01
3.882006137957374392e+01 8.395509438711182826e-01 4.815977814779436317e-01
3.370697389934247212e+01 6.359196752160234389e-01 6.508110391652156546e-01
4.459058599338541029e+01 6.063065657383712725e-01 3.153349691574271474e-01
3.352241229174050119e+01 8.842618630852243644e-01 6.387046981379328470e-01
3.331247561753011155e+01 9.281647731360047615e-01 6.662621325898522295e-01
3.439709073641009240e+01 9.678795952340019104e-01 5.154175025781470021e-01
3.305718632496019893e+01 9.347840897165314855e-01 4.420467299902804403e-01
3.839483290263534343e+01 8.849635205031922691e-01 3.618398945414882939e-01
4.076327618831046351e+01 7.738862218609899868e-01 5.446892443060087352e-01
5.027772380119316153e+01 6.040756653252472574e-01 3.184667119736666052e-01
3.946856814531114566e+01 8.635423786795314305e-01 3.375772645649732229e-01
4.264309868084447430e+01 7.118342199324347863e-01 4.080727885732445270e-01
3.180260325121618337e+01 8.502427806066730209e-01 6.909758582019714934e-01
3.870329715798391135e+01 8.762136449249434689e-01 5.830905828194159479e-01
4.147758958370113902e+01 8.116464398346801001e-01 3.181894752008492255e-01
3.936652642535623414e+01 4.720249762834382579e-01 4.951031147027472046e-01
3.836167841243178600e+01 7.144891990470754184e-01 5.338917585829676682e-01
3.467494939999754422e+01 8.586089642862878568e-01 4.706320739219280735e-01
4.336037490413244200e+01 7.778255408234299173e-01 4.326493566556962600e-01
3.231170876006815007e+01 8.854830354837193163e-01 7.439407013950006808e-01
4.029329902504307626e+01 7.533290426894906355e-01 5.565338211582507855e-01
4.201755509749833095e+01 6.572073648228350384e-01 5.401827410197969082e-01
3.890936752194095760e+01 7.176796153577540416e-01 6.504817125604737127e-01
3.607198499388240975e+01 6.772190155654417287e-01 6.338340884979828393e-01
2.759221747384687617e+01 9.835195424731822955e-01 6.551380696778517088e-01
3.057991017666453715e+01 8.696660756788330282e-01 7.591443778972802869e-01
3.481782654197425586e+01 8.593760068006875974e-01 7.538995529867682510e-01
3.683005532589076836e+01 8.026474394009549540e-01 5.427083798073799592e-01
3.971679754014420638e+01 8.149070750456971490e-01 4.285438122257970162e-01
5.158637778419780773e+01 4.126318874655272584e-01 2.657503130572361760e-01
4.298692490978805836e+01 7.932998564552835585e-01 3.756714612341345294e-01
3.638755680634286449e+01 7.559179721134140495e-01 5.222090742538297858e-01
3.360660704746830163e+01 7.137447400757550575e-01 7.784786238635819089e-01
4.463855292843771849e+01 5.691928047418675085e-01 4.527609966741718561e-01
3.747257689808191827e+01 8.833187316323262150e-01 4.541197917121549410e-01
3.334078830203250021e+01 6.815914119079604649e-01 7.922044734671995769e-01
4.364412411301592698e+01 4.434490275692671291e-01 6.249823708604427264e-01
4.185154376290441292e+01 5.853964239678121073e-01 5.606556539790417126e-01
3.457401999787553137e+01 9.746125163715781969e-01 4.511410679992137185e-01
3.497798132487806555e+01 7.513411681042220236e-01 6.661677151901910232e-01
3.407518116367704408e+01 9.103885299139264919e-01 6.287979670796246534e-01
3.678247239085609266e+01 6.488828267067097144e-01 7.249685742287548251e-01
4.296204942482296474e+01 4.539856241766929146e-01 5.457297203809363673e-01
3.458706309360967879e+01 8.348300104297664559e-01 6.413365567640842979e-01
3.803979256745694926e+01 8.132008376766496349e-01 4.513000591313525711e-01
2.917167876349400046e+01 9.569640939848041983e-01 8.850558280034570569e-01
3.479310902937145045e+01 8.971628270508904546e-01 5.156362713751847515e-01
3.294649747461151179e+01 8.640933475158498744e-01 5.777528009245248564e-01
4.215130877771484563e+01 5.082912043555305459e-01 5.995224084050331248e-01
4.372341134618562819e+01 3.749817307265606581e-01 6.077580761169900647e-01
4.100555861715238848e+01 5.122868373304731993e-01 7.646286056644326923e-01
3.464026026942891434e+01 7.523037505329762675e-01 7.730515065923737605e-01
4.359499474295577670e+01 5.034838477239806931e-01 3.724380636130546485e-01
4.030486517510199462e+01 5.485905853799493137e-01 6.756586121354225538e-01
3.737132025347675324e+01 7.990296441670611260e-01 4.809528847353056191e-01
3.896639104564103917e+01 5.702393923438421330e-01 6.559167716764655598e-01
2.907424592961582377e+01 9.330839324404699431e-01 7.408931579801342204e-01
2.964023147560423155e+01 9.858972823397782470e-01 6.925096692120954467e-01
3.708801741933797302e+01 9.210985205874029358e-01 4.001835876917446133e-01
3.543206214326133363e+01 6.769064285883875653e-01 8.191771202468151047e-01
3.950803858711005034e+01 5.506629902528203946e-01 6.818193578088229678e-01
3.950979652061987224e+01 6.421855927360721195e-01 6.017973335172556171e-01
3.192990327375246551e+01 7.613738071712481403e-01 6.574389392541576393e-01
3.575295832596080459e+01 7.112433139036546947e-01 6.081398380779765578e-01
3.134569392594833204e+01 8.463272044067586819e-01 7.079115979719459162e-01
3.978287385768387452e+01 8.692665938294967809e-01 3.954175497512936177e-01
3.762539862746634611e+01 7.936653647930972388e-01 6.838732395625998217e-01
4.772577187092279161e+01 3.019371574680351222e-01 5.011915693766239022e-01
4.398378115638637098e+01 5.520963712970122783e-01 5.039204775417620574e-01
4.540584653778662272e+01 5.483549039232098465e-01 5.616980415632655266e-01
4.332984665509202671e+01 5.161001284620290175e-01 7.429808790264594842e-01
3.746670060302010796e+01 7.305442945429576618e-01 6.376944100231310975e-01
4.031448098653356737e+01 7.674999720275025306e-01 5.094823204147117535e-01
3.710451811432871239e+01 6.436574661855483104e-01 5.708200215203554917e-01
3.476014074252294961e+01 9.249484761653067322e-01 4.717660447424250614e-01
3.127973274822673133e+01 8.092581712160802354e-01 6.689493918013746931e-01
3.566352061527672390e+01 7.165345426022456943e-01 5.959231176549866227e-01
