# m1 q z
4.606179123673884135e+01 6.522843246909189041e-01 3.456278220189927808e-01
3.760480993389161597e+01 6.261074326000402035e-01 2.709885668860115837e-01
3.872762408083875840e+01 7.094050852459206080e-01 3.943448864419866751e-01
4.049835063421883063e+01 5.719711826725454307e-01 4.012766494592993616e-01
3.353690444931759629e+01 9.921198588961226417e-01 3.017378367870715006e-01
3.624794458507368944e+01 8.651024043318411572e-01 4.625899189654886778e-01
3.497290100468460139e+01 9.034390237911271715e-01 3.548701098885652105e-01
3.268632028191665739e+01 9.041441003118046993e-01 4.060767895326480859e-01
4.694063421496905164e+01 4.374862577314549417e-01 3.476758918928061770e-01
3.420322815316210097e+01 7.961616162110003447e-01 4.190478881683997181e-01
3.973541995198832666e+01 7.152320645575471758e-01 3.916784546655554533e-01
4.153578669086328290e+01 5.700057626295806923e-01 3.183288865173435900e-01
4.083267180387263551e+01 5.258662546366833501e-01 3.869770172729216084e-01
4.068988069414165665e+01 6.899150033871878085e-01 2.745890752080912267e-01
3.723293550020623854e+01 8.253892520457999371e-01 4.269082804913724716e-01
4.537288342297431853e+01 4.901341644384286655e-01 3.196834719822209681e-01
3.619662161798348876e+01 7.748980441388034768e-01 3.561833420817563378e-01
3.779839362456655039e+01 9.150513128692437936e-01 2.381877390007148543e-01
3.541768805875025805e+01 7.766897327303972087e-01 5.204593339589811407e-01
3.212805500949713888e+01 9.701032279618888587e-01 4.249322024290305699e-01
4.699596607688026495e+01 6.710955384669511359e-01 1.568763551503110920e-01
4.027979740443419132e+01 7.436026118920749939e-01 2.536703152461071697e-01
3.390029787549470797e+01 6.734413082860336575e-01 4.040262921368177329e-01
3.553054733700406587e+01 9.310332193493454644e-01 3.456963080039633929e-01
3.764857965361962044e+01 7.535425155622665905e-01 4.249652295829853266e-01
3.137988844233402119e+01 8.796417912344864920e-01 4.977405335534522135e-01
3.280523248515113721e+01 8.828196425225847133e-01 3.287759808098430492e-01
3.462799215440812617e+01 8.055333481271690355e-01 4.234854490074048128e-01
3.151063661662225357e+01 9.673660261284078299e-01 4.430996063094669868e-01
4.840093063804196305e+01 5.234554537612866598e-01 2.634385944811699076e-01
3.872735402167889163e+01 8.049876796726913586e-01 3.321372292291649986e-01
3.269667540238683046e+01 9.987237740828487365e-01 4.806815654865113085e-01
3.194783306948416168e+01 9.708219979175505276e-01 3.994480315392431313e-01
4.663920736455093419e+01 5.055932422856017627e-01 3.059296646686548993e-01
3.564686203181967272e+01 8.182363938194509023e-01 4.539002782868134522e-01
3.544302343109508513e+01 8.704616263273571297e-01 3.092715616063102524e-01
4.095816737100448535e+01 6.464811423246520361e-01 3.567089061257704419e-01
3.525012906353880027e+01 8.869636785332247753e-01 4.703902425013891664e-01
3.918439789780989457e+01 7.859386865184139204e-01 2.921417150386940165e-01
4.000511637752341443e+01 5.787177183283479520e-01 3.954655203202427916e-01
3.717474998488602722e+01 6.736951661383978607e-01 4.225074357251756840e-01
3.537525315692844430e+01 9.700505462544984914e-01 3.135860018022700313e-01
3.153489434675594794e+01 9.011171485026261418e-01 5.554862264877418188e-01
3.179208141037323898e+01 9.217201677823551043e-01 3.737080222300437904e-01
3.343528758535614998e+01 9.387719132299126024e-01 3.645736503722393773e-01
3.266525010385398531e+01 9.452854659874854182e-01 4.688522719903288616e-01
4.658057211026336830e+01 3.952590817557444791e-01 4.164356597345715838e-01
3.376356914477626958e+01 8.535268270359855913e-01 4.785104871293590634e-01
3.949325106802415064e+01 6.151016221553874397e-01 3.464658675701448587e-01
3.719314927878317434e+01 7.630911626327123720e-01 5.055086621913886802e-01
3.041420738501374643e+01 9.917742800174448314e-01 5.307744301749875993e-01
