# m1 q z
3.022507419389704353e+01 7.518662613748219314e-01 2.294302599579259583e-01
3.832952908336893216e+01 5.244491300714034798e-01 1.977968716137258331e-01
3.410427860725420146e+01 8.537368526253071854e-01 1.281566354530445928e-01
3.645973021187003837e+01 5.800889130272974814e-01 2.167717672417112662e-01
3.469037238654475885e+01 6.985618598777667554e-01 1.627885908896979095e-01
2.942343114598866549e+01 8.781731852924975490e-01 1.940011563955280072e-01
3.129338375247211346e+01 8.434809885174225919e-01 1.335709940213227753e-01
3.481192023089025156e+01 6.077959230361398291e-01 2.634226425491494883e-01
3.777598855748043860e+01 6.425358970836188011e-01 1.497024558554237994e-01
2.990344162834889019e+01 9.795482407800508717e-01 1.625463300259617772e-01
3.734645204549162401e+01 6.285648997080993672e-01 1.430003982153437436e-01
3.144997201006578180e+01 8.293296069331657083e-01 2.030295630624983361e-01
3.521912729080168702e+01 7.863772190610522905e-01 1.397565890243123443e-01
3.016452944828747107e+01 9.463063121614807560e-01 1.957083049381414253e-01
3.241341935726360646e+01 9.998293506764565075e-01 1.175216393378889917e-01
3.555294336747078177e+01 7.452631462681515995e-01 1.300911507940714362e-01
3.074882719277498211e+01 9.622667660986767846e-01 1.058749663444438494e-01
3.755954385184708144e+01 5.344130798880807331e-01 1.928253363516559127e-01
3.935853360670392220e+01 5.124465884858724340e-01 1.574257141797908988e-01
3.506449413331523601e+01 6.529542709221819452e-01 2.214433333728021425e-01
3.344850207199129954e+01 8.136510158395536818e-01 1.281050985866820369e-01
3.507512929054061601e+01 5.999238032482371308e-01 2.146120936616164876e-01
3.567193278802201206e+01 5.773863378685218928e-01 2.224220576746728240e-01
3.116402068583874296e+01 8.068211699208874821e-01 2.185667742342251030e-01
3.252490595605924995e+01 7.506102804563999920e-01 1.927007728906180439e-01
3.180447949701795096e+01 7.449290076095328450e-01 2.097225218876794806e-01
3.833943932266807053e+01 6.296509553431937078e-01 1.417554899368183852e-01
3.676987261142841135e+01 7.250262681198965664e-01 1.409273061572217378e-01
3.648119999999325103e+01 5.400578389962937820e-01 2.506795865336530760e-01
3.688235880131112054e+01 5.002129971800808317e-01 2.606142459757657126e-01
3.218634454735882855e+01 7.722227949530338087e-01 1.352412722666592182e-01
3.429713782332549243e+01 7.019476904338515233e-01 1.731883231994583994e-01
3.410343843364471184e+01 7.795489222427459675e-01 1.481264549077991877e-01
