# m1 q z
1.012251749143804247e+01 6.953318870657394513e-01 1.076889732309113806e-01
1.332618777879155481e+01 4.341060223787551187e-01 8.797922874515388958e-02
9.332759922063988967e+00 8.462680884748206012e-01 9.210254581046259381e-02
8.644464899453783602e+00 9.649109333497828400e-01 9.653064490511426010e-02
1.326670533817192599e+01 4.454887611429835248e-01 8.591431843669583568e-02
1.001550810284095228e+01 7.736392996885324003e-01 6.288073144292906369e-02
9.661956859990231905e+00 8.354135127562263285e-01 5.312597727630126443e-02
9.196671434573159942e+00 8.947818267103563317e-01 7.595973107774234290e-02
1.061501681703740374e+01 6.401304060324926049e-01 1.009800822641094692e-01
1.042236594197690458e+01 6.841767035730943469e-01 9.733733609855038660e-02
1.419708785001234119e+01 3.766641585912196000e-01 9.700737013997180747e-02
1.115372096585220163e+01 5.933153733748608438e-01 8.698988732597695561e-02
9.056960707696564583e+00 9.056171100385455031e-01 8.201021373635065947e-02
1.082965187325727108e+01 6.427089578066462749e-01 8.476298950726812720e-02
1.037621482052598409e+01 6.917421372736660690e-01 8.461814976297026003e-02
1.123142155370464046e+01 5.981759952435439232e-01 8.667969115648370415e-02
1.036499429367776948e+01 7.128418007627498332e-01 6.862535665877111946e-02
1.219433917390757216e+01 5.325080683399772141e-01 6.064302176332420080e-02
9.636962556973921679e+00 7.495124634601565417e-01 1.240944294925442754e-01
1.122339273222336686e+01 6.149214743704853881e-01 7.531141464654568518e-02
1.141794037464654110e+01 5.639711310736911232e-01 9.611478996461922386e-02
1.043640133438977280e+01 6.953338476151429415e-01 8.073990617336805620e-02
9.796841295146116124e+00 7.690782370757980324e-01 9.360324050311043254e-02
9.860596045524395947e+00 7.754875412817722191e-01 7.994628007644700995e-02
8.577835683446261683e+00 9.938202181253825707e-01 9.835415714662251729e-02
1.027413753242484518e+01 6.884371424232160752e-01 1.008781471301997967e-01
8.609447172848648577e+00 9.081107667079149071e-01 1.366161468228305753e-01
1.085839519954457799e+01 6.520646694199306870e-01 7.561234990110188292e-02
9.224085228109203172e+00 8.292341466214113721e-01 1.148519540774328024e-01
9.269954330319366775e+00 8.837877192377253666e-01 7.457895984997779670e-02
1.044558105713621998e+01 6.592878183758780208e-01 1.018354795975407318e-01
9.008797124193977268e+00 8.831978338714420174e-01 9.968919559022937360e-02
9.738270193979621681e+00 7.946819895137015033e-01 8.209910598139506799e-02
8.944648280828754849e+00 9.262113155036703072e-01 9.168454508186221763e-02
1.190645589931102322e+01 5.366225583787422870e-01 7.962811269483426047e-02
1.469788063221274221e+01 3.629385552033485562e-01 8.649416870298447246e-02
9.641652534817129805e+00 7.792397990052024603e-01 1.005878074619223628e-01
1.310585237921216972e+01 4.388609199311682141e-01 9.656183062524879845e-02
1.168222144139635255e+01 5.481411061042643640e-01 9.550814625067388652e-02
9.591491375375415629e+00 8.232185132623373036e-01 7.204962123002216223e-02
9.847488600607821496e+00 7.587448512434099568e-01 9.468838758135425526e-02
1.118506204830046080e+01 5.488867694683897680e-01 1.392046352739094717e-01
8.456948618796259254e+00 9.951135560101799227e-01 1.065883517313177958e-01
9.352485590001084148e+00 9.067401174324993818e-01 4.785322782035868194e-02
1.388299698181568509e+01 4.065424774611144931e-01 8.058920092191282358e-02
1.042310185468916828e+01 6.670964533596837054e-01 1.034466426921072657e-01
1.896747821783054988e+01 2.245571120427997669e-01 9.963229349525219714e-02
1.044435628794356852e+01 6.773320023822979596e-01 9.065584757964512130e-02
9.330781238143913470e+00 8.885667638233377685e-01 6.639204513938824770e-02
8.659618726223380136e+00 9.988615882705512705e-01 8.024943452905883290e-02
9.251198906037277681e+00 8.456121654733633752e-01 9.478227782006169722e-02
8.790303859295526934e+00 9.995648544818622749e-01 6.387066168236275876e-02
9.484785944850488093e+00 8.061165711079089080e-01 9.985640261438911980e-02
9.502233460311165558e+00 8.615140593024022131e-01 6.079850130250931406e-02
9.760039143035054821e+00 7.496638964206152611e-01 1.157453874909866315e-01
1.183705785658125187e+01 5.302960159319797251e-01 9.007280278865728573e-02
