# m1 q z
9.700441287837410442e+00 8.301578395974743563e-01 2.396331805353293376e-01
1.307334173077238226e+01 4.865187017364281385e-01 2.107158717640914558e-01
9.093124333921640101e+00 9.663383566773724453e-01 2.261591424159623831e-01
9.889329388868306481e+00 9.488338365787679640e-01 1.410708850628691058e-01
9.573212510393579677e+00 9.031912651889024701e-01 2.027685916770376739e-01
1.177545272580828950e+01 5.521079208449226616e-01 2.659936414252454528e-01
1.369993526670086048e+01 4.370521731242956731e-01 2.335589661871780298e-01
9.880494894580433396e+00 7.777631516820752156e-01 2.643755464720570214e-01
9.670308756080917334e+00 8.232757706845903467e-01 2.548738030291359813e-01
1.513484533039234314e+01 3.448126428399556076e-01 2.722281337892925035e-01
1.009687607001561638e+01 7.426903072042907450e-01 2.810339908485176008e-01
1.103885491923468720e+01 6.356862205513595931e-01 2.605537141243655652e-01
8.982503954047682981e+00 9.726288861989670353e-01 2.383373507384711487e-01
1.053011015238427817e+01 7.217208075596208694e-01 2.405366942090420013e-01
1.045551562539829504e+01 6.876280600516377906e-01 2.784032185840364382e-01
1.173148609981558543e+01 6.061690242432555831e-01 2.162341400821687076e-01
1.043184251495545389e+01 8.006878013134345329e-01 1.771225973211691118e-01
1.215232898419922059e+01 5.372295679132240709e-01 2.400849708894504664e-01
1.380920983645770050e+01 4.421486122384625239e-01 2.002636991927138899e-01
9.005433989606437706e+00 9.871605395402451855e-01 2.301049754726976759e-01
9.117392426513950099e+00 9.832118259671683846e-01 2.101878912778128439e-01
1.093079966610692644e+01 7.344029423135662871e-01 1.920748249944354002e-01
9.341011455211830850e+00 9.091148078507457209e-01 2.369897302271763984e-01
1.048200564170211990e+01 9.503465672177295875e-01 8.622042424240779213e-02
1.072508469606673920e+01 6.446272630359930478e-01 2.684303133743547454e-01
8.931189466007374733e+00 9.977415771275716105e-01 2.374687520452423151e-01
1.344318082133339765e+01 4.728566074440820333e-01 1.949185919760449970e-01
1.154297066734732091e+01 5.991311372429996007e-01 2.390434085172734868e-01
1.016756193288438759e+01 8.012489577023714782e-01 2.042633252272195443e-01
1.184669417467433838e+01 5.737926901652999900e-01 2.346879370379804652e-01
1.146138698777166809e+01 6.690949147067304370e-01 1.773117560225011824e-01
9.332247966080361223e+00 9.009463678883841142e-01 2.428235860187920037e-01
9.864734517583439555e+00 9.517497178432720029e-01 1.339647005301162486e-01
1.410254736318240454e+01 5.038616811897184133e-01 1.044944506972365350e-01
9.677139427702648788e+00 8.701859457901333084e-01 2.102788416496563506e-01
1.054398552641515430e+01 7.631225099798348843e-01 1.896942617211576365e-01
9.584553129560843487e+00 8.851250232798045792e-01 2.114416907954754232e-01
8.962276965273778373e+00 9.107211567736892555e-01 2.883513808305215309e-01
1.037619569002522013e+01 7.635815587012648731e-01 2.143375207835112872e-01
1.271079300118401001e+01 4.975810474036663211e-01 2.400587907949703614e-01
1.100461405372218771e+01 6.611187750793878770e-01 2.104036529682516976e-01
1.134524487270783943e+01 6.313184494476418163e-01 2.313700284001542484e-01
1.138075561896991239e+01 7.040048833218821578e-01 1.500200161661678910e-01
1.305402656380164039e+01 4.843488403814490972e-01 2.330210376167448638e-01
9.683868932486539904e+00 8.096555338546679303e-01 2.688573009905060318e-01
1.200328351390423443e+01 5.518726709960183330e-01 2.384435727829359586e-01
9.699315512846956366e+00 8.663810939909566411e-01 2.321644292099280804e-01
1.006708601692739968e+01 7.109393773322526533e-01 2.965606010452828123e-01
8.544198272624482726e+00 9.851665820996967637e-01 3.063475630745139400e-01
9.623700385549490477e+00 9.175628498980736847e-01 1.900228632775723403e-01
1.340346622474999805e+01 4.285127561448682787e-01 2.683748497671991640e-01
9.758221486529288669e+00 9.247985472212006952e-01 1.749072262403148226e-01
1.103090972566019978e+01 6.354873276591116449e-01 2.664857705997041859e-01
9.957163078781000820e+00 9.356166310316051948e-01 1.437629508145757129e-01
1.183652431570886954e+01 5.701530745100376052e-01 2.403596906907895792e-01
9.679678255036233026e+00 7.951001300716671327e-01 2.639645862452311142e-01
1.030348212418490306e+01 8.150286585463797362e-01 1.718194985190272528e-01
1.454874991207381996e+01 3.774936752381409799e-01 2.563888415444938729e-01
1.019391706982961132e+01 7.061481013957131569e-01 2.903568587942284562e-01
1.425596145265540216e+01 3.791479937731819794e-01 2.794352148148194770e-01
1.133204664594441446e+01 6.708451923984272147e-01 1.979457447855606511e-01
1.148154961203584001e+01 6.580682733115880145e-01 1.985330935626221927e-01
1.147917887471424336e+01 6.294155987310003919e-01 2.163872181076709478e-01
1.122358860881160680e+01 6.528930058847228768e-01 2.157088474960206226e-01
1.419644617377054630e+01 3.892481077884737961e-01 2.663694439654563095e-01
1.006284601802756029e+01 8.751262167959018567e-01 1.654223720280460219e-01
1.181294594573787649e+01 5.546821235043124521e-01 2.589431702045669192e-01
1.442840581201442518e+01 3.730923321974716766e-01 2.714272003310388426e-01
1.310818149419962886e+01 5.032637394912026219e-01 2.014957011185777580e-01
1.022104443189048517e+01 9.223224876712545761e-01 1.379151461054117511e-01
9.754039147947755950e+00 8.706024592777229509e-01 2.158159330268323850e-01
1.372813417932691493e+01 4.567507285827635544e-01 1.994866472195509777e-01
1.207978162458358007e+01 5.273072066547787040e-01 2.538826163921638623e-01
1.032826837149822374e+01 7.498643726305227464e-01 2.241590930790598735e-01
8.819596759328769409e+00 9.645317229661383163e-01 2.567009096227454434e-01
1.155838540346453414e+01 5.477702662838994652e-01 2.964598343346618314e-01
1.149325088947324147e+01 5.820910239459686775e-01 2.608314955433511106e-01
1.166521237392354848e+01 6.160456739582577113e-01 2.034333310132318828e-01
1.049451795278361743e+01 6.852849732657613213e-01 2.554306386557361197e-01
1.083230796345915259e+01 7.255002272819445208e-01 1.880854259863954103e-01
9.559490386613488155e+00 9.432889341865893229e-01 1.856115470781424803e-01
1.021319794088070765e+01 7.789024739690323385e-01 2.129789325526437460e-01
9.942195673653346333e+00 8.206996937668209480e-01 2.327201992335163894e-01
1.037594989860990857e+01 8.114475135548185891e-01 1.655301759027325015e-01
1.638869882739968276e+01 3.113370283116894122e-01 2.492846802809784434e-01
1.509610294061210922e+01 4.358242048017557102e-01 1.062914521774915716e-01
9.866636798956312404e+00 8.038063194555711277e-01 2.481310556956502489e-01
1.065672311696020103e+01 7.031173746949204162e-01 2.552384140141272240e-01
1.040986265527110888e+01 7.152469608192171258e-01 2.470329094966796923e-01
1.105032383766089588e+01 6.380136113958025934e-01 2.550234206975183215e-01
9.383710771621776914e+00 9.163048295825169109e-01 2.282595613031538073e-01
1.335085272326776717e+01 5.156157724511062357e-01 1.557505182657101250e-01
1.169679495968990324e+01 5.735700423760977662e-01 2.350443789131979322e-01
1.557156591104872589e+01 3.767098692692981698e-01 1.866573861048927974e-01
1.339703919305383373e+01 5.431007701830112833e-01 1.371025361563535938e-01
9.505099141755707137e+00 9.656745338054935068e-01 1.789291331937919172e-01
1.258878748081876253e+01 5.383729104091055095e-01 1.919423955193326481e-01
1.057384067766229485e+01 6.972054548765874715e-01 2.482190055416260699e-01
9.504420313071733517e+00 9.682280291118686710e-01 1.775037928703398216e-01
1.179243948926251306e+01 6.057124589240073798e-01 2.063970026289379811e-01
1.252221536831461357e+01 5.114972996923624615e-01 2.321281173135410214e-01
9.256760166571835313e+00 8.591784227871180901e-01 2.962849369525385468e-01
1.180359082972756646e+01 5.698861553569593008e-01 2.507351441300462724e-01
1.133779283470411769e+01 6.131938521484222582e-01 2.650967059450879404e-01
1.189567198765595002e+01 5.588193287219161975e-01 2.464519849049821021e-01
1.073004399718927715e+01 6.236098088646273574e-01 2.971592630149160752e-01
1.273124456181479225e+01 5.366132052436229927e-01 1.882661271628133237e-01
1.025146071640330980e+01 7.840851755549156366e-01 2.170228970305786709e-01
9.083138526486385089e+00 9.483569862231276959e-01 2.452875769328924926e-01
1.257652292284554818e+01 5.190866669919104170e-01 2.333687549875465284e-01
1.367605586974428888e+01 4.183329303661869614e-01 2.557759978234074860e-01
1.164722835868929174e+01 6.964019030769140750e-01 1.340756223697183724e-01
9.674644292565206527e+00 8.146569749233528723e-01 2.785132263162683475e-01
1.323435423857744375e+01 4.928183339882984959e-01 2.109761261300483748e-01
8.588146782525205580e+00 9.537629660450340774e-01 3.248372705509843805e-01
1.010780389454830797e+01 7.875165387495113301e-01 2.293396791653177780e-01
1.070756251441237872e+01 7.299732865010241101e-01 2.073586620218043630e-01
9.502424235292792787e+00 8.526082664867761229e-01 2.245510970249546823e-01
8.936170357214903603e+00 9.455334966181835332e-01 2.763621622998047034e-01
1.185402753375966789e+01 5.470853852640151782e-01 2.834763035338673798e-01
9.762518744463573483e+00 8.595045890854026149e-01 1.910918875746905610e-01
9.714907271788780108e+00 7.935919407064981890e-01 2.889363223146420023e-01
1.023264119252249493e+01 9.027727580130761043e-01 1.377349410860877477e-01
1.018909770686017957e+01 7.011564061110527879e-01 3.054580080475680082e-01
1.084067048674008227e+01 6.798164982320811234e-01 2.315190882273648887e-01
9.652489762179021326e+00 8.307164360017093019e-01 2.455377434070062648e-01
1.252784888342984182e+01 5.911979797419121274e-01 1.510470877949165458e-01
1.022553879835631818e+01 7.305830897558935888e-01 2.599877775309619166e-01
1.107000732948483446e+01 6.519838522212574317e-01 2.291425941786389975e-01
1.037203785924001842e+01 8.106287614810891995e-01 1.948554177401491949e-01
1.002167124824500810e+01 9.625279780840344523e-01 1.192124330350465555e-01
1.412303680756770596e+01 4.166854819764519990e-01 2.249600162527150837e-01
