# m1 q z
5.998588960302244999e+01 3.354973027474165703e-01 4.659703913579414380e-01
5.311138843074326843e+01 7.223618636731116149e-01 4.663975247311382688e-01
6.127467565599901178e+01 2.362686816822134883e-01 4.420830770954604638e-01
4.064094891391408026e+01 6.745915086516554027e-01 1.018675590539777742e+00
5.107241949357528199e+01 6.501050505406849034e-01 6.138174755776425462e-01
5.582972857157292879e+01 4.921064268622446503e-01 6.830370877243847616e-01
3.617576386731641946e+01 9.406793769372385761e-01 9.188949932184575786e-01
4.479773397617799446e+01 8.685002184155699023e-01 6.437109424913003419e-01
4.413954746752754232e+01 7.869352338218553733e-01 9.140530022958871514e-01
1.771138480647815072e+02 7.545698604543073229e-02 3.314843743166327461e-01
4.617512989069953733e+01 7.841901745172630278e-01 4.979624234921088965e-01
6.710458383363247492e+01 1.890716219711464918e-01 5.462099061902900843e-01
5.204936066011840978e+01 7.004868617542879816e-01 4.282280609333543597e-01
6.457582356590761208e+01 4.768959657248970085e-01 6.920256789067840142e-01
5.470639915358607652e+01 3.683343369468285444e-01 7.441946261277446739e-01
5.923928047294115373e+01 1.966238275826629189e-01 6.808983764430691643e-01
5.793808797381834808e+01 4.205243305323045910e-01 6.533308108008908377e-01
5.358912390507241241e+01 5.659917643075639271e-01 5.739137807263178237e-01
5.204531913481304173e+01 7.878562838206886187e-01 7.283598348084642238e-01
5.205758242656014545e+01 3.630851964172884805e-01 4.340884139807008602e-01
4.958535990458515386e+01 8.835476182311696736e-01 4.829820893434618179e-01
6.105090893808576880e+01 5.160386443529839662e-01 1.606096483828458321e-01
6.990407411613679756e+01 2.161324159108250209e-01 4.479068600606702089e-01
5.790846623918807978e+01 3.494435567606981041e-01 4.056917524952223797e-01
6.891286013702617197e+01 1.727737594653555309e-01 4.140974204552907989e-01
5.129588238074752837e+01 6.800263558396192343e-01 5.523515928280063880e-01
4.564224626613378177e+01 6.714958026392043866e-01 6.792177860672321543e-01
3.805523537216662078e+01 8.409006821792326392e-01 4.578737265207671880e-01
4.233505213054778693e+01 8.503170205060728293e-01 9.654639462064984468e-01
5.104673412304824609e+01 6.950157306396468337e-01 4.648613998392154834e-01
4.970787209566306331e+01 6.234797752358549605e-01 6.643285882526417385e-01
5.099681631709396612e+01 7.890024305121665638e-01 4.706551772454345972e-01
6.232899074011726270e+01 1.983497861338362200e-01 6.282652537372904744e-01
6.028990976690632664e+01 5.827782641945550290e-01 8.909930062841130427e-01
4.205407767857728629e+01 8.677011380976934474e-01 2.011712239798175705e-01
4.724985056906992753e+01 6.811672276494920020e-01 7.981703988838051433e-01
5.323913954717131958e+01 4.866948338618699577e-01 8.951817443348999426e-01
6.439795987269143041e+01 3.116689968116605480e-01 6.339927722743257110e-01
7.209672126910737688e+01 3.424887258010528290e-01 6.871924517362018037e-01
4.648085490856163915e+01 9.107132174574716910e-01 7.054227528776982892e-01
4.636577012751735793e+01 8.274814522772510061e-01 7.526875078864331270e-01
5.326754599393837708e+01 4.957443247495118555e-01 8.471894608801937565e-01
5.007350731051051440e+01 8.600189212800258831e-01 5.362147394806368039e-01
5.094275518243875922e+01 6.443733736265669920e-01 3.825845555311107038e-01
4.859275399346465463e+01 4.330853403205408014e-01 5.446034052177681772e-01
5.991270136048787265e+01 4.612320121543789231e-01 4.663746195332124644e-01
6.574905398161227765e+01 3.149916024126752645e-01 2.714020931357830069e-01
5.963194562235394613e+01 3.312326486279941196e-01 5.207704443544198813e-01
4.977441345900588487e+01 8.286383776717212157e-01 6.325833582887291362e-01
4.652715479877574012e+01 9.660735951885517370e-01 3.633027835516465243e-01
4.425951881747256067e+01 7.377730787588360206e-01 9.675808861289177942e-01
5.350414510179216165e+01 3.845841686706141793e-01 6.297541671605224600e-01
4.837420749124600405e+01 6.245183600509146560e-01 5.154225366702867017e-01
6.323558185032626255e+01 3.893577836701749839e-01 8.017525259500662971e-01
6.101066513937359304e+01 3.156327565480926411e-01 5.471767969619312222e-01
7.933606355043002623e+01 1.742824865453913852e-01 3.174224782126971456e-01
4.088627231874457379e+01 8.953538980700330718e-01 7.860783950482229665e-01
5.932024727764419936e+01 7.469423755973689794e-01 4.213741146611685862e-01
5.868872180302346919e+01 4.603603356629779042e-01 6.769706349884897501e-01
5.281165962805654601e+01 5.312733914203254804e-01 4.609635863613726903e-01
4.624867861407629732e+01 6.095499545829152765e-01 6.653219401993170079e-01
7.745677567900349914e+01 2.771483302587023911e-01 5.828664524034660177e-01
5.632142268027507725e+01 6.348571818022480384e-01 5.903377843498819333e-01
5.675099317275361699e+01 5.067481808101804708e-01 8.510890436289614280e-01
5.345524549034389139e+01 6.769598921351029919e-01 5.385000769559813438e-01
5.426070724077869301e+01 6.702579466391107577e-01 4.852319460458039968e-01
7.293811767093586695e+01 1.501082324897380083e-01 3.946856270287401047e-01
4.428155973957048275e+01 7.730775944142738165e-01 8.941072435535932783e-01
3.893265325390280651e+01 9.275729614773369214e-01 7.485465579613761467e-01
4.316325217576537199e+01 9.595172309539614641e-01 6.321480645948941435e-01
5.915021309735426769e+01 3.617744858393736052e-01 5.844847443663939712e-01
5.170373560371994870e+01 4.701851419181339864e-01 7.907187892738068991e-01
5.927472627514990933e+01 3.084271187251673707e-01 5.073659624370838728e-01
5.379673369837136221e+01 5.762485171311932941e-01 7.986788085024228989e-01
6.143445908038899717e+01 4.188913925690392337e-01 6.953152209467301503e-01
6.690467354571258340e+01 2.247659811226683790e-01 6.222161145092106604e-01
5.593392565860755639e+01 5.925696626347942697e-01 3.482874465604093306e-01
4.991632838898743074e+01 7.933960743206536215e-01 5.974359586644254483e-01
5.609886447219221850e+01 3.049829994523790555e-01 6.641899045136291369e-01
6.659050304808663157e+01 5.512450978758280939e-01 3.141813210047228466e-01
8.052669646882267784e+01 1.365164241055530914e-01 4.204774657586761721e-01
7.436798856277370362e+01 2.736241395997615067e-01 2.526194470667393333e-01
4.654987026025570884e+01 5.821556243272347775e-01 9.729685922074280402e-01
5.973879432967031278e+01 3.856304539394685427e-01 6.140112808532715016e-01
4.748061859612152347e+01 7.525365431555326445e-01 7.171243764371872942e-01
6.078525719816016704e+01 3.290112132308700144e-01 5.150611399885559605e-01
4.977641454473754834e+01 6.609523559212668875e-01 8.010159487840433634e-01
6.845181308347757465e+01 2.050614178548083866e-01 3.964637997372900124e-01
5.585653084981354510e+01 3.049219048733535775e-01 5.116238944522158993e-01
6.005930047425011509e+01 2.985981554478859268e-01 3.601990823195919122e-01
5.505815723804933270e+01 6.490373013271537594e-01 6.292474050490409754e-01
5.144506429765741728e+01 9.355046362377824609e-01 4.084969198432825133e-01
4.919990681420612333e+01 6.392284356485380403e-01 4.667970415773704529e-01
6.926738868702267382e+01 1.991869481217506954e-01 3.918269691439391078e-01
3.810852369683237839e+01 6.614281383155823368e-01 4.883291539147386895e-01
8.571714728220234747e+01 1.373264840292801048e-01 3.725241862362931311e-01
4.724357673171902405e+01 5.424752455735297740e-01 7.549839733277896592e-01
4.176590510488365027e+01 8.762750676439333697e-01 8.133325559826027895e-01
4.186358868021650181e+01 7.920874994383674261e-01 8.843348323567192804e-01
4.760158077547941957e+01 8.474464413866413803e-01 6.779328513631516229e-01
5.963850789885517401e+01 6.193803648283914276e-01 4.639767333574914554e-01
5.617553480619968553e+01 5.042351735408393543e-01 5.167948675842617412e-01
4.143556779473572504e+01 6.049119774905116209e-01 5.904376631803468500e-01
5.113370727538115545e+01 3.072834840675763290e-01 6.747570631590626977e-01
6.286629915330494356e+01 2.526703193585913554e-01 4.790336425404729259e-01
6.588201987382812774e+01 2.149516081137785306e-01 4.810870495986434014e-01
3.995141000004772991e+01 7.047183671104529923e-01 8.597861179320698266e-01
5.166976441817617882e+01 9.737289624439749991e-01 6.022501573935155061e-01
5.940492721282666366e+01 8.205960633826006045e-01 4.579217503856008453e-01
5.038030019424197548e+01 7.204542254574519689e-01 9.453233345033070778e-01
5.939357891478643126e+01 3.763850867663875999e-01 5.837231471431800767e-01
4.405612911315321867e+01 9.585367618370236320e-01 8.257342612772752277e-01
5.479727681232897396e+01 8.871832527339942320e-01 4.503657277883453824e-01
4.941784178178836839e+01 4.226850871316348290e-01 3.484596126872328004e-01
3.776519377051585025e+01 9.902781879290166733e-01 4.848784689208744392e-01
4.917143310846640247e+01 5.196907015521629036e-01 2.956698044567135364e-01
5.177709040787768657e+01 5.818047130021685165e-01 4.882490101033377106e-01
4.547977563799037171e+01 7.079244023677613296e-01 6.258949208357272864e-01
6.707169181899951127e+01 2.036026823234197702e-01 3.482061955461261404e-01
6.072759550794229710e+01 3.183969054586521241e-01 6.079692404876584355e-01
6.464043294931570927e+01 5.545822536748099552e-01 3.733047569115306441e-01
3.937763343529982762e+01 9.036887440217592493e-01 5.928244513114865333e-01
7.282358407731993566e+01 2.869952237881629453e-01 4.828646896297577040e-01
6.148646093665973922e+01 2.843018794235975810e-01 6.361865912156456915e-01
4.167237929079335856e+01 5.429508051885333364e-01 7.285972778462808108e-01
6.314945229771262092e+01 4.807668093812629828e-01 6.387479892520312452e-01
4.543017322724648466e+01 7.234019967402222084e-01 8.600327173145848603e-01
7.141084901432196830e+01 1.749598557859284587e-01 3.851748996352444276e-01
7.884184217510242831e+01 3.492057691104200057e-01 2.764601770323492635e-01
5.567650317818648631e+01 4.921580505947524831e-01 5.255608128632406340e-01
4.321456934438126041e+01 9.943507388609703623e-01 2.128083351383332211e-01
4.577592839596909613e+01 9.600163804531481881e-01 3.911925641526773911e-01
4.410806345702935971e+01 7.304854754807270645e-01 7.778733271061663013e-01
4.368951438523097863e+01 8.820924030332957244e-01 6.028982257419260860e-01
5.679956868505762912e+01 5.140379302152446872e-01 6.723546276905718599e-01
6.101430257309694127e+01 3.015734656535118963e-01 4.675935314403002474e-01
5.681088041854403770e+01 2.806523628436793927e-01 5.549312464938221945e-01
5.523831576224569062e+01 5.655542232029375782e-01 8.901370790746560013e-01
5.313286165397998673e+01 8.818446827468796601e-01 4.885805603399939190e-01
6.675812233270640661e+01 2.825579754611418082e-01 4.066274285260074173e-01
5.630000968318996257e+01 4.106333117260645427e-01 7.189145136642093314e-01
6.107002064346764314e+01 6.894868288230527886e-01 4.872995617405496693e-01
4.128648943229996604e+01 8.350412938376089445e-01 9.477362569082075083e-01
5.627827008203193060e+01 6.141995793501152656e-01 5.235408878200190630e-01
4.448181594976059472e+01 7.726477582828149560e-01 8.205300546529310513e-01
8.148318331356425404e+01 2.664612790756913929e-01 3.249663816228759994e-01
7.367094004848152622e+01 2.118929013553692842e-01 4.401908901396222040e-01
5.724748758285051053e+01 3.610567341625090521e-01 4.322689504092461776e-01
6.310040890031374516e+01 6.724715889474385255e-01 1.638656626280751427e-01
4.603894350316841155e+01 7.333072708193264511e-01 4.611412397398677587e-01
3.623716146515457837e+01 9.485317324719799714e-01 1.042841156070855035e+00
5.212452591722487938e+01 4.087718257346917849e-01 5.345681832466938621e-01
4.669711455549447976e+01 5.809793751913026050e-01 4.002974708813628602e-01
4.547672677479972236e+01 8.588667557633392624e-01 8.070093393521411418e-01
5.152010182546401040e+01 7.127058616479308162e-01 7.777591655832337691e-01
4.329425375048830205e+01 6.002254168976415283e-01 5.335143666973719556e-01
3.843279861222743676e+01 9.356087144847905490e-01 6.814564322202697477e-01
4.318852038109726266e+01 6.332708410872619487e-01 1.006747280265108735e+00
5.405054994863726137e+01 2.981470413742112746e-01 4.114592156498478315e-01
5.487883965537030662e+01 7.826899942083620498e-01 5.445218371647522204e-01
4.841169455419856149e+01 6.097614789101574173e-01 5.712530491834988400e-01
3.710818480851195744e+01 9.117144937728809406e-01 8.438382163253927981e-01
6.007113686012067433e+01 3.835281662370239597e-01 5.898788706384964220e-01
3.946515977628492067e+01 7.644634367989157075e-01 4.122680478586613351e-01
4.872823807092989767e+01 5.756503017808576317e-01 6.856956873582866763e-01
6.709023663991473541e+01 3.337940101915805036e-01 5.030828849122358504e-01
5.784658453092666974e+01 6.196565734720672625e-01 7.811820502474274841e-01
7.135050083905186113e+01 2.135583811053283210e-01 3.743022159362496826e-01
6.854676480973347452e+01 2.641620394136316996e-01 3.656906366194397906e-01
6.391423170584914004e+01 2.229544217750268897e-01 4.160815299244784438e-01
5.451761338873377838e+01 2.486970337564386180e-01 6.632775341332752816e-01
4.937597863182820390e+01 5.290917761565091526e-01 6.070239050432172379e-01
6.484764220923230482e+01 3.575473478114510328e-01 2.497007764630025939e-01
3.574685844997228656e+01 8.394450588250611522e-01 1.075818854428407301e+00
5.607521610211799157e+01 8.510554335183204699e-01 2.161503868625817004e-01
4.732992867687332250e+01 9.324882082196057631e-01 4.297653572748236783e-01
5.109692185269809528e+01 5.475041325868005293e-01 9.615756107244275430e-01
4.767990514598125884e+01 9.389169918220162669e-01 5.134932976056220122e-01
3.849231189173641354e+01 9.296079815208017072e-01 3.921634111679020984e-01
4.289371689412234190e+01 9.168951914350275123e-01 7.260546140467228904e-01
4.901703306798401627e+01 7.124121698981923378e-01 6.327615875758196839e-01
7.850670888439503869e+01 1.104143798730859577e-01 4.575890224352024416e-01
4.860980344537326658e+01 5.392754542592097522e-01 6.854287923814188499e-01
5.809175422252429399e+01 4.651114463038484304e-01 5.778164124418543324e-01
6.202432859261705289e+01 5.390295233673793041e-01 3.164350418229969208e-01
5.310413289857792307e+01 7.600893899935496911e-01 5.019938897185499682e-01
5.051047810035108654e+01 5.791227233921568684e-01 5.146589575564148866e-01
6.858277695761387349e+01 2.111645975034121825e-01 3.957682562139776539e-01
5.204857382349396744e+01 2.778925271309835576e-01 8.901036807561513164e-01
4.236567850906995858e+01 6.855072848484955461e-01 1.025986855027492650e+00
6.113222542062110421e+01 4.319862194079296391e-01 4.766142063356447744e-01
5.708875689326895042e+01 6.087416086136494542e-01 5.679383538495248462e-01
5.942248524634180740e+01 5.743749640113497978e-01 5.064620857144602750e-01
5.486290956603590274e+01 5.223696360275517092e-01 8.434832707144981345e-01
4.717098204471929535e+01 8.694525654817503169e-01 6.067383343984589228e-01
