# m1 q z
1.266494323944012379e+01 5.818540273116489248e-01 2.551182188087493530e-01
1.232495464766073034e+01 7.060289934857705285e-01 1.483967612559456972e-01
2.012397525383079255e+01 2.637776658961268894e-01 2.391719173503252249e-01
1.335870610579057782e+01 5.866721313719391873e-01 1.757766714540993647e-01
1.785427103556963147e+01 3.376859314647028820e-01 1.833176475202951405e-01
1.620375241255757359e+01 4.127519012365071238e-01 1.723814654979380079e-01
1.291793575099876001e+01 5.278218598510268089e-01 2.902034288807632256e-01
1.615325290015982418e+01 4.112403526343775262e-01 1.620604912224380412e-01
1.329300417304183313e+01 5.069677915775521182e-01 2.743038954544896879e-01
1.518055701583062422e+01 4.755310988829645202e-01 1.572238740436482651e-01
1.806835208691046546e+01 3.490830647909662909e-01 1.473511751532831371e-01
1.318829955671035314e+01 6.594394557990524985e-01 1.093082877812060066e-01
1.498225254563023334e+01 3.724337842543417598e-01 3.279626637853524374e-01
1.281447775013527313e+01 6.219976594110261381e-01 1.795251663565017308e-01
1.352282058878633464e+01 4.810072218617800210e-01 2.929764086716500349e-01
1.270033231610755031e+01 5.536612303161693172e-01 2.811351384376021278e-01
1.264572912740364252e+01 5.473537502434789870e-01 2.824904627171785920e-01
1.545848682542710151e+01 4.523244372211485120e-01 1.585042056343184957e-01
1.267180275137373258e+01 7.310929372187774389e-01 9.499668454796360295e-02
1.390888322682705258e+01 5.398791017873015852e-01 1.697239623537679376e-01
1.460142489078118011e+01 4.810705086891339244e-01 1.859034395288798602e-01
1.179661608607142220e+01 6.686267332267022967e-01 2.259729310913203004e-01
1.704362855221525308e+01 3.773822317081778621e-01 1.554036125388622014e-01
1.340977259469085325e+01 6.053150105683201554e-01 1.331949809511534244e-01
1.935825003853211967e+01 3.002009331931448921e-01 1.553288626545647200e-01
1.135026751166136449e+01 7.626796259142289980e-01 1.950521858682238985e-01
1.336812395765388750e+01 5.927745929396021074e-01 1.551034422566800464e-01
1.281267257500494772e+01 6.468714948773456319e-01 1.612115983533791153e-01
1.510797423429101194e+01 4.112090088115871178e-01 2.504767156088926749e-01
1.751200104857390016e+01 3.627951223161281491e-01 1.618253073172858381e-01
1.206474936397103193e+01 6.113138434157000534e-01 2.809705808022877060e-01
1.391480038444088763e+01 5.411572189066825578e-01 1.837463380659088430e-01
1.681757096906672544e+01 3.490068364493044140e-01 2.244322344692759597e-01
1.245947220088547347e+01 6.269401174567496016e-01 2.181223052868469237e-01
1.590008461930609407e+01 4.369204378308638725e-01 1.471242095059991650e-01
1.323602803268145500e+01 5.962604818823264985e-01 1.701060893614936842e-01
1.353503115379420940e+01 6.161061195985793049e-01 1.294769717404402609e-01
1.128785575658720042e+01 5.997513103554584779e-01 3.724128243718601294e-01
1.347547953865136705e+01 6.503830065427744778e-01 1.083282013943623057e-01
2.014881984195464071e+01 2.933769182286022903e-01 1.429644604815681064e-01
1.434184008606934668e+01 4.779692663618231863e-01 2.179584973177157436e-01
1.470781148331005461e+01 4.236801059536978720e-01 2.638006695348768527e-01
1.243166500725560297e+01 7.140659965687337074e-01 1.322580677475450328e-01
1.222390645474827942e+01 7.014514136582585824e-01 1.662588430936723372e-01
1.574996720531191663e+01 4.121781981103992964e-01 1.720313292953565554e-01
1.789206974289806595e+01 3.434557274675577032e-01 1.697969156591187523e-01
1.273350816534567187e+01 6.219976594110261381e-01 1.870255081106063366e-01
1.298361059817368179e+01 5.991029652644056513e-01 1.980595753686607008e-01
1.458042610758555568e+01 4.285440067538295872e-01 2.611690402129833721e-01
1.437596686003068669e+01 5.372504348101825311e-01 1.450903553324452977e-01
1.374598811318120362e+01 6.212366365680684899e-01 1.113072319152985656e-01
1.734626033097172382e+01 3.888393476416529548e-01 1.320630283023053186e-01
1.383955882791444125e+01 4.798246539692413992e-01 2.660754015263993577e-01
1.335416227904546460e+01 6.132812678625019220e-01 1.463022299811521099e-01
1.258758580961695195e+01 6.877074242585649033e-01 1.618763296792216921e-01
1.563606155934028941e+01 4.281811724051152734e-01 1.796911217058585197e-01
1.228723279569846660e+01 7.264658372315462298e-01 1.421259150321375064e-01
1.577856018439750230e+01 4.728833642538520787e-01 1.166992928431645482e-01
1.259925440246577288e+01 7.091760930546753272e-01 1.234817988300757341e-01
1.241597309139005922e+01 6.974581197908141794e-01 1.454593123967335422e-01
1.348264688755130081e+01 5.888439591795477934e-01 1.520297260281489593e-01
1.338457645648411010e+01 5.893560753423481291e-01 1.689788654029624193e-01
1.167812432529910538e+01 6.357342537672886484e-01 2.960035000836794272e-01
2.010886002396525285e+01 3.027423255843760264e-01 1.174495209186416922e-01
1.864931816125793418e+01 3.223565461089242801e-01 1.551471112092872862e-01
1.390475850456081020e+01 4.531677762974493096e-01 2.852189409933557629e-01
1.753301935641375664e+01 3.610567217602583812e-01 1.665909096551456414e-01
1.723380008971709287e+01 3.626909345750817248e-01 1.661159404994526911e-01
1.510082957783244240e+01 4.759130900304395784e-01 1.425949091782704736e-01
1.364109191586072356e+01 6.455663562790462384e-01 1.054726478652637939e-01
1.543254198468758354e+01 4.490385262323656201e-01 1.691884601968424717e-01
1.527004638322975616e+01 4.792899435438732758e-01 1.558801169971815170e-01
1.594844554793628078e+01 4.499086652675207132e-01 1.257703420709408715e-01
1.702117750507687077e+01 3.887452284188800955e-01 1.435590748169034425e-01
1.309251351986093148e+01 6.358176342050003704e-01 1.352679512190323174e-01
1.481772479241707607e+01 4.568615063410012000e-01 2.187362940659814681e-01
1.281249384451657747e+01 6.219976594110261381e-01 1.797078057890219016e-01
2.505868994785324588e+01 2.066078318423668625e-01 1.213187145247070636e-01
1.310214962075920653e+01 5.544817159408553797e-01 2.185398932327927146e-01
1.300637251630398339e+01 6.068021280109834326e-01 1.763548199792625282e-01
1.740698744648822682e+01 3.715723320257989237e-01 1.502664123561184284e-01
1.344519803874309005e+01 6.783085815444624966e-01 7.823878519495956751e-02
1.721573953239657939e+01 3.902471300915338337e-01 1.282475529702711836e-01
1.286045946294270692e+01 5.365624782771453161e-01 2.718535482446370333e-01
1.498348322778593378e+01 5.246444178222940957e-01 1.068422307334623150e-01
1.744045246455809561e+01 3.670170304127414740e-01 1.523438993822701648e-01
