# m1 q z
9.269036457804284623e+01 5.257469747343279654e-01 8.901295462349660959e-01
8.766803357391883367e+01 5.914153385450285905e-01 7.568714612406520770e-01
1.367443116703590817e+02 1.804408704217836112e-01 3.665585298010667903e-01
9.539831264961907209e+01 5.631371865288193890e-01 5.359970716744992814e-01
1.007853225881367223e+02 6.239213648780651544e-01 3.630581355032468927e-01
1.303771871479924300e+02 2.070147382019307258e-01 3.672310676017566111e-01
1.003443369098024220e+02 6.313703024279672116e-01 4.162390861321097479e-01
9.474507262255492890e+01 5.192335974911380658e-01 5.077493965151035349e-01
9.389067235712289516e+01 6.410276563346778422e-01 4.310593985454944654e-01
8.598221952957494807e+01 6.758530505925272047e-01 7.526335653108081614e-01
1.018725660607254468e+02 5.458694656820035629e-01 7.115301945144087981e-01
7.782597046383615691e+01 8.617970023307919281e-01 7.841429384861249297e-01
9.147024896725613985e+01 6.802986094017254848e-01 6.102203444076185201e-01
1.334167278750728656e+02 2.376750718270621565e-01 3.867741803184882032e-01
1.020783061328161665e+02 3.882769438268535156e-01 4.676141720871742069e-01
9.728969500412833327e+01 5.560997068245008279e-01 6.899467992869733335e-01
9.801937411860845373e+01 5.028786906261693002e-01 7.521695881106524872e-01
8.395183608400722619e+01 8.455578652240771653e-01 6.345556045113943666e-01
1.019163505373279150e+02 7.447692406179096114e-01 6.788508290200421236e-01
9.780563569317642703e+01 5.890002269381295896e-01 5.725877022114568282e-01
1.097020799176054879e+02 4.156448932745453462e-01 5.084679064844705998e-01
9.020527110827858053e+01 4.575336545280466183e-01 5.548018556345963859e-01
9.899533576485841024e+01 5.686618962875774619e-01 5.521674258329430929e-01
1.060931876551485118e+02 4.285988235420628567e-01 4.931068334464648317e-01
9.636482185983697946e+01 5.718279830474968239e-01 5.578239446108999022e-01
8.599500873606972107e+01 6.373918757847802929e-01 7.662160656119214597e-01
1.014859228119150885e+02 5.227278146912959222e-01 4.858284115234574041e-01
9.158491879562663485e+01 5.675157116205565844e-01 6.319014054596362451e-01
8.885536369841669568e+01 7.019482537183505677e-01 7.292370963527095018e-01
8.583286825517048158e+01 7.020240338798776625e-01 7.681216223166983381e-01
7.171324427085066588e+01 9.220211726142036879e-01 7.747275288509767321e-01
9.176466081324718971e+01 6.326151778550092031e-01 6.667963199856415946e-01
7.999428386048290918e+01 7.162748819026035774e-01 7.077291760170003609e-01
9.157400428346034005e+01 6.176665636666501813e-01 7.323333532233523568e-01
9.593385440941909792e+01 6.967118555185264350e-01 5.520084820269930415e-01
9.657401194238465791e+01 6.265278321539420325e-01 5.673805901487224412e-01
8.791984719105822421e+01 7.200644674689093971e-01 5.865536558434859549e-01
8.701892297203490045e+01 6.340884254868208725e-01 4.859169870250910628e-01
9.138923662572301509e+01 6.359724923764547011e-01 6.036142155604380388e-01
1.177228160363559653e+02 5.940682451040455447e-01 2.340677070050612152e-01
8.375658041518936159e+01 7.348463086699561497e-01 1.086053900940676886e+00
1.216387381499336300e+02 3.617631264373036282e-01 3.197866495925844044e-01
9.214309456749238336e+01 5.974252935692084820e-01 6.704152801345266699e-01
8.607108151095287951e+01 6.900215023470290809e-01 7.529633038464856876e-01
1.204292939301464145e+02 3.175265337562048207e-01 6.847468831791679866e-01
9.967213751675708977e+01 6.313703024279672116e-01 4.257903516895985563e-01
9.778068771177586882e+01 5.998709472643586338e-01 4.003974379437465481e-01
1.384984038994612092e+02 8.238360348627531415e-01 3.043095254133929561e-01
9.413569269571013365e+01 6.116902568852446986e-01 8.536087576198030380e-01
8.480608284660115714e+01 7.393281236638782339e-01 6.277556859770595521e-01
8.870912961202333236e+01 6.710717186413576174e-01 8.030422232785121572e-01
1.135422004822182629e+02 4.267931901318980370e-01 3.427075048267781421e-01
9.022930593170413260e+01 6.647705090057228761e-01 6.260644875391906394e-01
1.003167749174814674e+02 5.438657134595422660e-01 4.757931367333312345e-01
9.997727915794624209e+01 4.256417540414737521e-01 5.590838683580063861e-01
8.853554510570292280e+01 8.423123185465939411e-01 5.639023296537667429e-01
9.358665084088852382e+01 4.670860411238118015e-01 5.155013742888779893e-01
9.014977659088951611e+01 5.955133920645957479e-01 7.971882734175009810e-01
