# m1 q z
1.225241772142925889e+01 6.014648822268641171e-01 1.981380600764851285e-01
1.828097133914961958e+01 2.786212307564666091e-01 2.197423532002126256e-01
1.123445730664109909e+01 6.840704164378793584e-01 2.258623290916710880e-01
1.337411254144196171e+01 4.949526656796033874e-01 2.222722778312681557e-01
1.174757421072292018e+01 7.043634537240426319e-01 1.618007049950875298e-01
1.183077594107206565e+01 7.259202947773072401e-01 1.278861223020366089e-01
1.071531728637871517e+01 7.438154143849756705e-01 2.236675452128627506e-01
1.195993351813344496e+01 5.795449250674339359e-01 2.539884086530136975e-01
1.210231448392110742e+01 5.910000131214758756e-01 2.342551517600583166e-01
1.327260071321484602e+01 5.712266519231936623e-01 1.389778331045990190e-01
1.147963094261815442e+01 6.590403504366744158e-01 2.385145542629593385e-01
1.494769686861022606e+01 4.247081576606634989e-01 1.809117588588881609e-01
1.135600528110364316e+01 6.989435824588489110e-01 2.077004774576090007e-01
1.189687318398536142e+01 6.700991916047345232e-01 1.773793654332048442e-01
1.207619854979148144e+01 6.169405981413629281e-01 2.027122558572696520e-01
1.254660941847174982e+01 5.806631160614673659e-01 2.061431495365132760e-01
1.435244327723244240e+01 4.717335224332561139e-01 1.815078918932256091e-01
1.300348954734127638e+01 5.491164526432037452e-01 1.930727473974128972e-01
1.170897316738306593e+01 6.574200168487829288e-01 2.089296642537005477e-01
1.245781842945689455e+01 6.718326310578881522e-01 1.185889470864213147e-01
1.237916643708630993e+01 5.921776661008395504e-01 2.048023649894815390e-01
1.169430548044230989e+01 6.758716964336434208e-01 1.877145695594281960e-01
1.205792223376243477e+01 6.470243676107070296e-01 1.718357214509123043e-01
1.259627886689086118e+01 5.940482888724859523e-01 1.835200028149049367e-01
1.246862416027293818e+01 6.245201319590326650e-01 1.571050514112362073e-01
1.355771627410257096e+01 6.182357985435811276e-01 7.517001427770986233e-02
1.387995139666806566e+01 5.348270430673199849e-01 1.412756822623065511e-01
1.323271376107635788e+01 5.722155364336105610e-01 1.537348480179146493e-01
1.198913782650567228e+01 7.021059987992761542e-01 1.474305491414558411e-01
1.208481562388442931e+01 6.623824055754018447e-01 1.663443149387013320e-01
1.269735291117729048e+01 5.849896912025962514e-01 1.884767719353575011e-01
1.267020958564021349e+01 5.673170555742841348e-01 2.033723591502516470e-01
1.299797981584771556e+01 5.863919185731724104e-01 1.584979522464290969e-01
1.244071799167101311e+01 5.337793089712147276e-01 2.607622816063247528e-01
1.105422510802539549e+01 7.473200671513970939e-01 1.819373924739858817e-01
1.261276155070710914e+01 6.308981095050870680e-01 1.374512982207055090e-01
1.416648245298791586e+01 5.282224169293073812e-01 1.229079662358134734e-01
1.242690780469454381e+01 6.704996930484259376e-01 1.212599480891131398e-01
1.244310622310476866e+01 7.404837410051992030e-01 6.640028318339591396e-02
1.200601682493232403e+01 6.290915001562422670e-01 2.095863442271878319e-01
1.146582891381586933e+01 7.023217955298536319e-01 1.953618969043777187e-01
1.170420110333465402e+01 6.424122266387920499e-01 2.238845585042765485e-01
1.126496521866386225e+01 6.886608351324566835e-01 2.299513341634079333e-01
1.230023026116345619e+01 7.047427662628296119e-01 1.227723145642725944e-01
1.148788865203918341e+01 6.781845826899394192e-01 2.027755855334932855e-01
1.203028819203422373e+01 6.341036675230553588e-01 1.862372515272993079e-01
1.267037705944634141e+01 5.652319295191527981e-01 1.947249816621850205e-01
1.153737222692115871e+01 7.424027387234477526e-01 1.447172493215470312e-01
1.292581798908004842e+01 6.060037996977820640e-01 1.442718760619555174e-01
1.259703007212910109e+01 6.997411425904952464e-01 8.349562729059425981e-02
1.101757036750348462e+01 7.755813517267133861e-01 1.588958884855486420e-01
1.172349576485580691e+01 6.587104094793375664e-01 2.020986984314684654e-01
1.310171360541559693e+01 5.690079917135997256e-01 1.543941087025644254e-01
1.230658380963489051e+01 5.906193712339886659e-01 2.175480402830440030e-01
1.261553845378767669e+01 5.512884704902013544e-01 2.252203944064915253e-01
1.168151202022253266e+01 6.697564875382409078e-01 1.994014966337459838e-01
1.088459350147610394e+01 7.130359949484357251e-01 2.411560430040794456e-01
1.227097828801606383e+01 6.255888803559424005e-01 1.927394586211361449e-01
1.214752777724292443e+01 7.399291473110340966e-01 8.903953484126664319e-02
1.210319451026386517e+01 6.330639060458498335e-01 1.854386036540038307e-01
1.365460522235385277e+01 5.108906975044417154e-01 1.763341186682128858e-01
1.338991981972020184e+01 5.397984437114587974e-01 1.637741831022867800e-01
1.215677089999767801e+01 6.142489887887997435e-01 2.007381828675232627e-01
1.244593506395997906e+01 5.771484347729644027e-01 2.199655487491321837e-01
1.105878072795145073e+01 7.161791786412143868e-01 2.230609623910593808e-01
1.186457575226268801e+01 6.525236798208161604e-01 2.007875626975530736e-01
1.201676446880558302e+01 6.169540719308878041e-01 2.112244554500038451e-01
1.260467065005170006e+01 7.007406065590151556e-01 8.221637666860005800e-02
1.139404763086525207e+01 7.484217592771930105e-01 1.668228386184484047e-01
1.139469156662157090e+01 6.678540833793821241e-01 2.179723267502917672e-01
1.369787112437257370e+01 5.117968643906529724e-01 1.735511930315607465e-01
1.341005995408422535e+01 5.041157757769947345e-01 2.013885885046512725e-01
1.124058822210968422e+01 7.513105971878150102e-01 1.633814655960801610e-01
1.183411966296583984e+01 7.328379395434776455e-01 1.224240905361160398e-01
1.269044615905862017e+01 6.108121861974070699e-01 1.549872885704185743e-01
1.469362743232909096e+01 4.527656270466807187e-01 1.695435370975663936e-01
1.154489367951988754e+01 6.860785744933740604e-01 1.942841902874405391e-01
1.123168339450643671e+01 7.022354722033308239e-01 2.089955283676970532e-01
1.272941691725828228e+01 6.097205134121117531e-01 1.467573177062757028e-01
1.146398387633455584e+01 7.116934191629435968e-01 1.744914460142308055e-01
1.367958557464700320e+01 5.954232567779547125e-01 1.018488767624047553e-01
1.373765890733237960e+01 4.871407056845192263e-01 2.106799355109067184e-01
1.326486717057498943e+01 5.309021340831361346e-01 1.952771781364719406e-01
1.229964813913355748e+01 5.618526033499048333e-01 2.476090231538102815e-01
1.263960291886754028e+01 5.710979351253990810e-01 2.009182643975011562e-01
1.218532261071432998e+01 5.965972720717824807e-01 2.288735783518313083e-01
1.902862343326171413e+01 2.621678494011204230e-01 2.050740864374439587e-01
1.285390910789532448e+01 5.951816011334924994e-01 1.570226516433767816e-01
1.160914179428251991e+01 6.924640824837652309e-01 1.887142257833777093e-01
1.268399542443362016e+01 5.491972768174927522e-01 2.180829055045086506e-01
1.609933386855065507e+01 3.903904093852342272e-01 1.538517153363644363e-01
1.226240659146266232e+01 6.683601439781088338e-01 1.474931853749276434e-01
1.142833469627373510e+01 7.104493935359742496e-01 1.835520536872470854e-01
1.317126210559623622e+01 5.627082965484327959e-01 1.575422216768519734e-01
1.323929403288340723e+01 5.237044319078315580e-01 1.927568011389497182e-01
1.131462904723211871e+01 6.850628921988761721e-01 2.119627557170838394e-01
1.210227879275043072e+01 6.342917771243232750e-01 1.916611943065656687e-01
1.174298799829610473e+01 7.346415680110210955e-01 1.381049697010003907e-01
1.270244355135550407e+01 5.607709666079917499e-01 1.959163556667749273e-01
1.341157399884672685e+01 5.686505598540404494e-01 1.343174933313701080e-01
1.144778202699116498e+01 6.513018393896200520e-01 2.363339873723927786e-01
1.249766865247917735e+01 5.999763968989113572e-01 1.814210642455340583e-01
1.176022514980378908e+01 6.860026663466252117e-01 1.640842607701608891e-01
1.176856607102312857e+01 6.878900223094127631e-01 1.774147263461260116e-01
1.206514081069082600e+01 7.138007944173595520e-01 1.265386963371675499e-01
1.258481341218225147e+01 5.827315007588775853e-01 1.988063315579904899e-01
1.450933328840127601e+01 4.616312221848670183e-01 1.599029166594025941e-01
1.134629940233679157e+01 7.342629006778821354e-01 1.768645905157334997e-01
1.352761243392601820e+01 5.106796486362515930e-01 1.972701819414481306e-01
1.110614594012646350e+01 6.919584343961177053e-01 2.408107253669929115e-01
1.462744765755355836e+01 5.282996683693038653e-01 7.835422619711704395e-02
1.324787201040447648e+01 5.012429555596764619e-01 2.317055891832853765e-01
1.261738020255306658e+01 5.806631160614673659e-01 1.993779023111237614e-01
1.393943997785678945e+01 5.100623439918953173e-01 1.562984614592952681e-01
1.443817488896093160e+01 4.755764495723990848e-01 1.547956115109722086e-01
1.300715492510359184e+01 6.563445125117400858e-01 8.231954497827126405e-02
1.236219199719616313e+01 6.315323556500017643e-01 1.557595128146011532e-01
1.149264172358520142e+01 7.074309663472624354e-01 1.870807711687784425e-01
1.339950690325993676e+01 5.091272377450805076e-01 2.088006011668524786e-01
1.209264291883535947e+01 6.441720241634839583e-01 1.675823138718638694e-01
1.350019407769828383e+01 5.063499603921791659e-01 2.006434801390309663e-01
1.181607996062439980e+01 6.571706728530211095e-01 2.066282597538026400e-01
1.191952997330009012e+01 6.241272594649788230e-01 2.253840573174982487e-01
1.182989954593507065e+01 6.563689329058215449e-01 1.908306528976946581e-01
1.211308241415147435e+01 6.277957800531539512e-01 1.858191423859968106e-01
1.120663959446534896e+01 7.328854061142818788e-01 1.857143158741817734e-01
1.156824381365873222e+01 6.221152511332863622e-01 2.472604513196726139e-01
1.219572284643228954e+01 6.312102040557066029e-01 1.876202979011682703e-01
1.377857128644019191e+01 4.724134669135962028e-01 2.214352018167825009e-01
1.612783113390318590e+01 4.384363250518107935e-01 9.619432726050326787e-02
1.216171713513886132e+01 6.272824951547494310e-01 1.828705469916970805e-01
1.301815051130005330e+01 5.588024535930113945e-01 1.929654666781910610e-01
1.174205677838354767e+01 6.418754709345961817e-01 2.126472617823763345e-01
1.331569568002583992e+01 5.349419006178371960e-01 1.888636824095155653e-01
1.223234329269504173e+01 5.897142150840849473e-01 2.215992179457332845e-01
1.264456782059211015e+01 5.682691645425560489e-01 1.930132539155145488e-01
1.096156687204413416e+01 7.117445164747112640e-01 2.388403189541134231e-01
1.117235250684256798e+01 7.125053860900496527e-01 2.021128935713819019e-01
1.292815783090909676e+01 5.285561192815787512e-01 2.059650882915977366e-01
1.102829209920055575e+01 6.891710243169586469e-01 2.493729651029829852e-01
1.023635358681908336e+01 7.942232066360753739e-01 2.393253996555417540e-01
1.326823792657461532e+01 5.607274846345288166e-01 1.704606207652832328e-01
1.128703043268901673e+01 7.442430021761331504e-01 1.779946974797296244e-01
1.196138632362781173e+01 6.164885845488599081e-01 2.178875931148532563e-01
1.172947501667872316e+01 6.496450522900419910e-01 1.962961667122618548e-01
1.337769532814076001e+01 5.355612394617579319e-01 1.720230290353809421e-01
1.423576132092299318e+01 4.915563769659778148e-01 1.485298630266664588e-01
1.115155595720083603e+01 7.236257689552898498e-01 2.079232756126680182e-01
1.191185246091953331e+01 7.181300221825412944e-01 1.363741319337215263e-01
1.223272968640390168e+01 6.875214711790587074e-01 1.356318954256108544e-01
1.232468433686483422e+01 7.113734600292167531e-01 9.901240711578261633e-02
1.201396697057484353e+01 6.163811791876615542e-01 2.145717593313652971e-01
1.307012189837459637e+01 5.251164923372031446e-01 2.189266575992109831e-01
1.199796611324635975e+01 7.182373188502209072e-01 1.275731130015244352e-01
1.247970563765426100e+01 5.875961874548435437e-01 2.031078645555438600e-01
1.224134565182220413e+01 6.374660492341057694e-01 1.706482610322208604e-01
1.211087652251051061e+01 6.079142212006710677e-01 2.228446035654928492e-01
1.212377023560920541e+01 6.370437599723267619e-01 1.657666489330171244e-01
1.213106580564360293e+01 6.886608351324566835e-01 1.421386399168839132e-01
1.329108147704749143e+01 5.571404736470687569e-01 1.684083817270927153e-01
1.093480577333781056e+01 7.120975098696378236e-01 2.363724861912406827e-01
1.182907498719005090e+01 7.140359061356694736e-01 1.344213317213624748e-01
1.138584815812476592e+01 6.790122718592925821e-01 2.088628628143327504e-01
1.241743456880892360e+01 5.832335174361544805e-01 2.041694214004025620e-01
1.110831824920210309e+01 7.353045851629229634e-01 1.986641633135070306e-01
1.290254959312327721e+01 6.125243260591065608e-01 1.468588353953415859e-01
1.284547359089798668e+01 5.725694624789815501e-01 1.870733992092559472e-01
1.560857586310342349e+01 3.749033715049190363e-01 2.248768989356527692e-01
1.201356221806145008e+01 6.737124096740363388e-01 1.676064722011709196e-01
1.360425322437635032e+01 5.999354042849793789e-01 9.129003666282328733e-02
1.074246604277444028e+01 7.713211797665389113e-01 2.060217782781993134e-01
1.355454037493927899e+01 5.825993472812575069e-01 1.131980563426220748e-01
1.252385074496519302e+01 6.287569639093679719e-01 1.390247528887847139e-01
1.293920151510315364e+01 5.943327428407653157e-01 1.554650402923886121e-01
1.571998004753557154e+01 3.641682145245149216e-01 2.303264979672828561e-01
1.156478278471181120e+01 7.548355432016305988e-01 1.343298222031329425e-01
1.180165953146388702e+01 6.886608351324566835e-01 1.740178542738704814e-01
