# m1 q z
3.421818781948401522e+01 7.252445777884279909e-01 2.729431961182961497e-01
3.323067380238614277e+01 6.218732042279423444e-01 3.701960167496944898e-01
3.105686245992504624e+01 7.834145712773685766e-01 2.530617165725765894e-01
4.014502259330346590e+01 6.220767170777951049e-01 2.769873486277081298e-01
4.380509047323000260e+01 4.661437499289514674e-01 2.025482788607775864e-01
2.911399570751238386e+01 9.129467524777101772e-01 2.521064600777960241e-01
4.377709512488452503e+01 3.978735991407413852e-01 2.294910180707788183e-01
4.704543035746028323e+01 2.962324204775892977e-01 2.502171496718789134e-01
3.441273163884658004e+01 5.101044646697930895e-01 2.996256882754097517e-01
3.907276414892918837e+01 4.687492696298390382e-01 3.146164087650856755e-01
3.847535525218261654e+01 4.467119592401092021e-01 4.244244306472951811e-01
4.094784181192836314e+01 4.312825101742915335e-01 3.200862487148562474e-01
3.792267999587961214e+01 4.363944093523396961e-01 1.752860192048532328e-01
4.343576488271443736e+01 3.494764608568277642e-01 2.767543830589478948e-01
4.066769285506366316e+01 4.072577851653417236e-01 4.214732080480177445e-01
3.447400269939466000e+01 5.295051309904634795e-01 2.498339476875736653e-01
3.731735308692565667e+01 5.280624420241786243e-01 2.122219671823520892e-01
4.097524604398918058e+01 5.383252030557179602e-01 1.457160414980164520e-01
3.893026194965825226e+01 4.960425168036338706e-01 2.323041848903864559e-01
3.206025892695854651e+01 8.168574350414010699e-01 3.111613532002721616e-01
3.197434800524602139e+01 8.549780436640187498e-01 2.229718702564387478e-01
4.584363080764087783e+01 3.820461590467124635e-01 2.065354876413477980e-01
4.025319398326267617e+01 4.005874331387585530e-01 3.738284901682959460e-01
4.261170564736473665e+01 4.305313088600042914e-01 2.415975037537647085e-01
3.980435397912161477e+01 5.205074847248410963e-01 3.166923312775242194e-01
4.366033560195580776e+01 3.349571880900582554e-01 2.959429594194238344e-01
3.664917082550431360e+01 6.515153714157305709e-01 1.863073983157474411e-01
3.560729955468732300e+01 4.955318910335371752e-01 2.982148461028042430e-01
4.345584479975680381e+01 3.204519168119083217e-01 2.888548396422500608e-01
4.234887624661001837e+01 4.484730479408191028e-01 3.246296976946030366e-01
3.098434310632509892e+01 6.468591380822563686e-01 3.615943033663953643e-01
3.923147488591265386e+01 3.699038368078914618e-01 2.730662721906104706e-01
3.920609017250719575e+01 4.262441098121615979e-01 3.196100961993035283e-01
3.415915608251192026e+01 4.316354359260886064e-01 3.538402016868816280e-01
3.215667461674304661e+01 8.414472433685030728e-01 3.929262593293524342e-01
4.628034872377339326e+01 3.548807292734021956e-01 1.844798008854342808e-01
4.415560248032704749e+01 4.722997017562728383e-01 2.576685451387116799e-01
2.805320336317773666e+01 8.133752299679717357e-01 4.000100576589670776e-01
4.199649317982956376e+01 5.286143539323336915e-01 3.656883280444545581e-01
3.287160528326111120e+01 5.542002674340077428e-01 3.050422011048189996e-01
4.742650555392881984e+01 2.882852921924931033e-01 1.573670446307632032e-01
4.228068685198787335e+01 3.286140211621329521e-01 3.754048571549690183e-01
3.074270524093316581e+01 9.055496621856000683e-01 3.354185484389476946e-01
3.308834928586740887e+01 5.767328327639082985e-01 4.650641735623110562e-01
3.728412054814868526e+01 5.457648635586070940e-01 4.124089863340834050e-01
3.778050739016264714e+01 5.602422091544420057e-01 2.002959803840805020e-01
3.486109575382890569e+01 7.589507325660799220e-01 3.691317145856969906e-01
3.998655129592945912e+01 5.060768856577940733e-01 1.992048322220745238e-01
3.987931491318250465e+01 5.515159070790788265e-01 3.821915723311973268e-01
3.949830325080181126e+01 4.243638913917840982e-01 2.466740329298356127e-01
4.088495683266268088e+01 4.507834478872972395e-01 2.417423489796447778e-01
3.986991267262805394e+01 5.558802269253115824e-01 3.140548904186427071e-01
4.348160378825666328e+01 3.902834488990610806e-01 2.247425840725780222e-01
3.443549364453898676e+01 6.498349265934201258e-01 3.167598344555934142e-01
3.114914704363130227e+01 9.548309853149293813e-01 3.869203940554273302e-01
3.396811912990596483e+01 7.472913316980762666e-01 2.960175664464084755e-01
4.320409957144480018e+01 2.944515355853682959e-01 2.222615527031567839e-01
3.693653829816898337e+01 6.067963987519211511e-01 2.329767745834595838e-01
3.460209779558154253e+01 6.717440897436843805e-01 3.864183610553111325e-01
4.534201038870750011e+01 3.639095287627284181e-01 1.493447447004980777e-01
3.572913145249314226e+01 5.376537451672962487e-01 2.986422088543034259e-01
4.131375467723457717e+01 4.771396172633717847e-01 4.176506406724228015e-01
3.539281410084182511e+01 7.645084674395213886e-01 4.307220646292412303e-01
3.947521309071408524e+01 3.483073564729092242e-01 2.472202367901073783e-01
4.095047378337671518e+01 4.309187499222207895e-01 2.304745496807938665e-01
3.625441908851497175e+01 6.673706440156289554e-01 2.412917283000580448e-01
3.769001719746178480e+01 7.059395292789273357e-01 2.809952828415761550e-01
3.517095330191207836e+01 6.832125961403450187e-01 2.790084457613974389e-01
4.406538789391679956e+01 5.181192924684583367e-01 2.793205387604860146e-01
3.239939200148994303e+01 6.857057246689799435e-01 2.551881535060956385e-01
3.966272101338464040e+01 4.874895560643270898e-01 2.120745177528592651e-01
4.246282909707696263e+01 3.603561256433837068e-01 2.986182532394534572e-01
3.452869780302723512e+01 6.061856564292521510e-01 2.748947054268627843e-01
4.774146336030695181e+01 4.343806342973818846e-01 3.242725659931166571e-01
4.833416724270314546e+01 4.492223976828916276e-01 2.183740609044489411e-01
3.712565945114992871e+01 3.979980243203072310e-01 1.722514054962396013e-01
4.192425642854182399e+01 4.727651615156347464e-01 1.498446943925292596e-01
3.102060214302751362e+01 6.898840645664604532e-01 4.442074879698735823e-01
3.774286231756548204e+01 5.726792591483320649e-01 3.210131926940001379e-01
3.488370385927147765e+01 7.517343504972473500e-01 2.408670002561204837e-01
4.158794608146283167e+01 5.099533124859458866e-01 1.941198940749133128e-01
4.172992543548701860e+01 3.917733028918470861e-01 2.904086017497109484e-01
4.447704223423276204e+01 2.966366208630458745e-01 2.706968949981430894e-01
3.450850773924084081e+01 5.562085057635435259e-01 2.296665843576214949e-01
4.445675796832471605e+01 3.525927232354530427e-01 2.167253312466010384e-01
3.981494195204472675e+01 4.601111588209856884e-01 2.002760074011623037e-01
3.105925884686906002e+01 6.372520474150996650e-01 3.104684953522776070e-01
3.881020920710995625e+01 4.402060460844143264e-01 1.898187323513294833e-01
4.499954293275456507e+01 3.178526025217680573e-01 2.485033627485335461e-01
4.316730560722138677e+01 4.475216684334321071e-01 1.846288250666207054e-01
3.884800948220517824e+01 5.164469984121180524e-01 2.384230932753094445e-01
2.942416991873312071e+01 6.486123518761431894e-01 3.904694662566208785e-01
3.087677825032540468e+01 6.577998235432241936e-01 2.271150646563373510e-01
3.757563149103087596e+01 4.831068362628933022e-01 3.090550401554387205e-01
2.740700569039770684e+01 9.288193740595709347e-01 4.632786410015943268e-01
3.114045713769777279e+01 6.080508530931877376e-01 4.669348859494097947e-01
2.675181332427622749e+01 8.732024331970564823e-01 4.125708700738452417e-01
2.802934511330493095e+01 8.182455867797272520e-01 3.465723931189268470e-01
4.811604311564430247e+01 2.977973301887322233e-01 2.337394810533102163e-01
4.042385231784417954e+01 4.513328159937289863e-01 2.555878652076427615e-01
4.640186829012341718e+01 3.941893501768725105e-01 1.479159616455622828e-01
3.904982557726064840e+01 5.592284177016887403e-01 2.553200601830215022e-01
3.551479883784833191e+01 5.576146197316527164e-01 2.613806950032379617e-01
3.664852647444559608e+01 5.495360338565077329e-01 2.401626453307696141e-01
3.075461112360801508e+01 6.199309017928700261e-01 3.081786966964392693e-01
2.794220702000348311e+01 7.545282131262266434e-01 4.142018996798251251e-01
4.272014653748983903e+01 4.319469319612463387e-01 2.038533952970975338e-01
3.382400037662176118e+01 5.203593722677420930e-01 3.707272874410912356e-01
3.996212130256255080e+01 5.347505827639570386e-01 2.248484266477072946e-01
3.794526196934609175e+01 4.516349124461433440e-01 2.870357923981267101e-01
4.040368852073824968e+01 4.384120347663461037e-01 3.185290945501464410e-01
3.177988852811908416e+01 6.207540875802431968e-01 2.498281224813177215e-01
4.113355100939476472e+01 5.368874061401783804e-01 2.157318500690819374e-01
4.402438025836889324e+01 4.154064040388322221e-01 3.608131139561812084e-01
4.063575430539928846e+01 4.552171050067223002e-01 3.217744321977439870e-01
3.848852059578562290e+01 4.105123560647975234e-01 1.985281816208163408e-01
3.723661587431347897e+01 6.057521566351324882e-01 1.019242625671945846e-01
3.452234940084931480e+01 5.656192042511316576e-01 2.504888751694049898e-01
3.869128147302851062e+01 5.611913196981100915e-01 1.763122515091515574e-01
4.109697394057953801e+01 4.644576199915850245e-01 2.952994312811215716e-01
3.256632565459607065e+01 6.681005917618829670e-01 4.786138751066510988e-01
4.349658734677694838e+01 4.094778795536963001e-01 1.856016841088857228e-01
3.507492280047483035e+01 4.973767689303964512e-01 3.346525225618257049e-01
2.795167518597034828e+01 9.260033735093782248e-01 4.350634135734075536e-01
4.717111082482939821e+01 3.384640336082865297e-01 2.766996113559238024e-01
4.661807040839581617e+01 3.564122259598296871e-01 1.966979999947098268e-01
4.834003955338422287e+01 3.536607875493210096e-01 1.346855578666167896e-01
4.353744643537803682e+01 3.471592975907676903e-01 2.595560248394213620e-01
2.813118324350912758e+01 8.829030187691068177e-01 3.919722522693419586e-01
3.475426579042294861e+01 5.408141989782824233e-01 3.405082668517506184e-01
4.223967751945296811e+01 3.993458295700050287e-01 2.381632588249212035e-01
4.015131896930765976e+01 3.909100902121366850e-01 2.698668335872089763e-01
3.492954391103709355e+01 6.759705660415585848e-01 1.449971966373538590e-01
3.485451187602104284e+01 5.013233911563549361e-01 3.316251989545918044e-01
5.271234573760808928e+01 4.158173576683799055e-01 2.303392874799332357e-01
3.259417863800130988e+01 8.615796946626419484e-01 4.558352537735070875e-01
3.973789488961710958e+01 3.810782356406513527e-01 3.455764178466398939e-01
4.361407446780222585e+01 3.106222146367225712e-01 1.883875634687621758e-01
4.614621109401536359e+01 3.017992847482152130e-01 2.817165714026034218e-01
4.616387085018011760e+01 3.148871302373994485e-01 2.051370189464301885e-01
4.718472838483581455e+01 3.051309109510504936e-01 2.537541326366158367e-01
3.571291114514304610e+01 5.114287115590196997e-01 2.558824218567186115e-01
4.144199379548587814e+01 3.692057379281009633e-01 2.923169321377799279e-01
4.359007296030519996e+01 3.566004013693779839e-01 2.531612955461583492e-01
4.031332782095321932e+01 4.171313407853913802e-01 2.651556615228813363e-01
3.308149083714768324e+01 6.528992245637105230e-01 2.523221088768481946e-01
2.744191376269034421e+01 7.595801438801040861e-01 2.391357472683388052e-01
2.521636781607965361e+01 9.740637390117943273e-01 4.434795768742129107e-01
3.500192827798574058e+01 6.223092385473728561e-01 1.553060048547749150e-01
